"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"FCKFQ","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","5f1b84872171f838a8a3cfa9","prolific","asynch","TRUE","I tried my best on most questions",4,4,2,"",41,"USA","English","Associates Degree","Math or Computer Sciences","Male","","chrome",1832,885,"Linux","2022-08-25T22:24:12.920Z","success","summer22",3,7,21.34595
"MUOW0","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5effbf5171b1190b98260bb8","prolific","asynch","TRUE","I tried my best on each question",4,2,3,"The graph could be more user friendly.",36,"USA","English","Bachelors Degree","Social Sciences (incl. CogSci)","Male","N/A","chrome",1600,789,"Windows 10","2022-08-26T03:44:04.894Z","success","summer22",1,2,12.25015
"MLNH1","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","627ad907d485eb4e0546a534","prolific","asynch","TRUE","I tried my best on each question",3,5,4,"",22,"United States","English","Bachelors Degree","Biomedical & Health Sciences","Female","No","chrome",1440,764,"Mac OS","2022-07-20T19:25:59.959Z","success","summer22",1,4,12.1469666666667
"4N2R9","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5dd0a53411b0bd173b6e8f12","prolific","asynch","TRUE","I tried my best on each question",4,4,4,"",27,"United States","English","Bachelors Degree","Social Sciences (incl. CogSci)","Other-Not Listed","No","chrome",1504,860,"Windows 10","2022-08-26T04:19:32.621Z","success","summer22",5,12,28.8214833333333
"SSKFO","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","62d44d484a28cd313e2c3ba4","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"The shape of the chart was interesting, but I would have found it a bit easier if the text on the axis was aligned upright for reading instead of tilted.",53,"USA","English","Bachelors Degree","Engineering","Female","no","chrome",1280,689,"Mac OS","2022-07-20T18:36:27.655Z","success","summer22",2,12,18.26795
"9BACG","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","6110e2abc07c7c23f0bcc41f","prolific","asynch","TRUE","I tried my best on each question",5,2,3,"It was very hard to decipher the graph",31,"United States","English","Bachelors Degree","Humanities","Female","N/A","chrome",1280,688,"Mac OS","2022-08-26T04:04:06.837Z","success","summer22",1,0,7.21173333333333
"BMTZS","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","614f6bad672ef7cf5ecfd965","prolific","asynch","TRUE","I tried my best on each question",3,5,4,"",64,"US","English","Associates Degree","Math or Computer Sciences","Male","no","chrome",1478,691,"Windows 10","2022-08-25T22:24:46.863Z","success","summer22",3,4,9.75605
"3MSRJ","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","5f2a12f5837dd81e5881b7cc","prolific","asynch","TRUE","I tried my best on each question",2,5,2,"",43,"United States","English","some college","Math or Computer Sciences","Male","NA","chrome",2560,1289,"Windows 10","2022-08-25T20:14:09.485Z","success","summer22",1.5,11,25.3803333333333
"2LAYF","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5d453e8723a5bb0001492546","prolific","asynch","TRUE","I tried my best on each question",2,5,3,"I found the label along the Y-axis confusing because it identifies as the Shift Start and Shift End times. I assumed for the purpose of the experiment that the position of the dots was indicative of the start time. I do not understand how the shift end times were graphically represented. ",28,"USA","English","Bachelors Degree","Math or Computer Sciences","Male","NA","chrome",1680,977,"Linux","2022-08-26T05:06:22.840Z","success","summer22",4,0,16.3693833333333
"MXTH1","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","","","prolific","asynch","TRUE","I tried my best on most questions",4,3,2,"",19,"United States","English","some college","Biomedical & Health Sciences","Female","","chrome",1440,821,"Mac OS","2022-08-25T05:12:17.495Z","success","summer22",1,4,7.74053333333333
