"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"23D03","11111331","ORTH-90","SGC4C","summer22","asynch","Female",20,"English",NA,"USA","I tried my best on most questions","3","2","1","I noticed that some of the questions I couldn't answer because I wasn't able to click on certain letters. ","I do have ADHD. I don't know if if affected me though for this task.",13.0194666666667,"3","chrome","1920","961","90","ORTH",-0.278008511096746,9.4375,0.551995798319328,0,0,0,0,-9.5,0,9.77695,45.1243846153846,8.747,90.003,0,10,1,0,2,1,0,2,0,-1,"Orthogonal",20.941,0,0,"blank",90.003,0,"Orthogonal",15.802,0,"Orthogonal",76.057,0,-3,4.22263333333333,0,-6.5,5.55431666666667
"27CUZ","11111221","ORTH-45","SGC4C","summer22","asynch","Male",44,"English",NA,"USA","I tried my best on each question","4","3","2","","",12.8084,"1","chrome","1745","916","45","ORTH",8.04599567099567,-0.63634184443008,8.77083333333333,0,0,8,9,11,0.692307692307692,7.1272,32.8947692307692,7.477,68.8,9,0,4,0,0,4,0,0,1,1,"Triangular",21.43,0,0.5,"Tversky",63.258,1,"Triangular",24.32,1,"Triangular",32.061,2,3.5,2.40673333333333,7,7.5,4.72046666666667
"27YEC","11311331","TRI-90","SGC4C","summer22","asynch","Female",27,"English",NA,"US","I tried my best on most questions","4","1","4","","",13.21445,"1","chrome","1440","789","90","TRI",-0.514750935339171,11.9166666666667,-0.146250808015514,0,0,0,0,-12.5,0,10.5632,48.7532307692308,9.831,104.633,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",24.466,0,-1,"Orthogonal",104.633,0,"Orthogonal",16.763,0,"Orthogonal",38.284,0,-4.5,5.61908333333333,0,-8,4.94411666666667
"293QB","113","TRI-0","SGC4D","winter22","asynch","Female",23,"Spanish","Fourth","United States","I tried my best on each question","4","3","3","","No",11.7343166666667,"1","chrome","1280","721","0","TRI",2.24699148890325,6.12248168498169,1.12363984055161,0,0,2,3,-4,0.230769230769231,8.9011,41.082,8.14,83.952,3,6,1,0,3,1,3,0,0,-1,"Orthogonal",23.994,1,1,"Triangular",78.433,0,"Orthogonal",72.04,1,"Triangular",11.095,1,-1,3.2837,2,-3,5.6174
"29KEV","11311331","TRI-90","SGC4C","summer22","asynch","Female",64,"English",NA,"United States","I tried my best on most questions","4","2","3","It was a bit confusing.","maybe",15.9283166666667,"1","chrome","1366","768","90","TRI",0.452405927405927,1.5703431372549,6.14425770308123,0,0,1,2,1,0.153846153846154,9.0014,41.5449230769231,9.471,88.606,2,3,6,0,2,6,2,0,0,0.5,"Tversky",19.301,0,-1,"Orthogonal",67.56,0,"Tversky",88.606,0,"Orthogonal",46.578,0,0,2.5757,2,1,6.4257
"2CJ7D","113112","TRI-45","SGC4C","summer22","asynch","Female",20,"English",NA,"United States","I tried my best on each question","4","3","2","","Nope",9.85251666666667,"1","chrome","1440","796","45","TRI",-0.669949903038138,11.5,-0.87863606981254,0,0,0,0,-12,0,7.19376666666667,33.202,7.208,68.228,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",22.184,0,0,"blank",68.228,0,"Orthogonal",15.077,0,"Orthogonal",58.195,0,-4,2.96521666666667,0,-8,4.22855
"2CKLU","11311331","TRI-90","SGC4C","summer22","asynch","Female",20,"English",NA,"USA","I tried my best on each question","5","1","2","This chart was very confusing. I think I figured out how to read it by the end, but still not sure.","no",13.1994,"1","chrome","1440","708","90","TRI",3.71073926073926,-0.540508511096746,5.38690476190476,0,0,3,3,2,0.230769230769231,8.55238333333333,39.4725384615385,5.716,119.74,3,0,4,0,6,4,6,0,0,0.5,"Tversky",32.23,0,0.5,"Tversky",62.859,0,"Tversky",39.406,1,"Triangular",31.663,0,0.5,3.36986666666667,3,1.5,5.18251666666667
"2CZP7","111","ORTH-0","SGC3A","fall21","asynch","Female",19,"English","Second","Untied States of America","NULL","NULL","NULL","NULL","NULL","NULL",19.0795833333333,"NULL","NULL","NULL","NULL","0","ORTH",-0.952250935339171,9.86057692307692,0.398149644473174,0,0,0,0,-11,0,15.4328833333333,71.2286923076923,16.185,199.396,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",29.627,0,-0.5,"?",63.714,0,"Orthogonal",199.396,0,"Orthogonal",41.599,0,-4.5,4.51475,0,-6.5,10.9181333333333
"2FBFN","11311221","TRI-45","SGC4C","summer22","asynch","Male",34,"English",NA,"United states","I tried my best on each question","3","4","3","","No i don't have any ",10.0559166666667,"1","chrome","1440","821","45","TRI",6.00016233766234,1.63641456582633,7.2156862745098,0,0,6,6,4.5,0.461538461538462,4.77476666666667,22.0373846153846,9.646,74.447,6,2,3,0,2,3,2,0,1,1,"Triangular",24.771,0,-1,"Orthogonal",74.447,1,"Triangular",34.792,0,"Orthogonal",13.485,2,2,2.32821666666667,4,2.5,2.44655
"2HFRK","11311221","TRI-45","SGC4C","summer22","asynch","Male",20,"English",NA,"USA","I tried my best on each question","4","2","1","","",11.0045666666667,"1","chrome","1536","753","45","TRI",10.8452380952381,-0.540508511096746,7.51831501831502,0,0,11,11,11,0.846153846153846,8.35496666666667,38.5613846153846,9.727,125.471,11,0,1,0,1,1,1,0,1,1,"Triangular",21.947,1,1,"Triangular",125.471,1,"Triangular",16.176,1,"Triangular",64.425,3,3,3.6156,8,8,4.73936666666667
