"subject","mode","condition","question","score","pretty_condition"
"N8UV7","asynch","11115",1,1,"click-point"
"N8UV7","asynch","11115",2,2,"click-point"
"N8UV7","asynch","11115",3,3,"click-point"
"N8UV7","asynch","11115",4,4,"click-point"
"N8UV7","asynch","11115",5,5,"click-point"
"N8UV7","asynch","11115",6,6,"click-point"
"N8UV7","asynch","11115",7,7,"click-point"
"N8UV7","asynch","11115",8,8,"click-point"
"N8UV7","asynch","11115",9,9,"click-point"
"N8UV7","asynch","11115",10,10,"click-point"
"N8UV7","asynch","11115",11,11,"click-point"
"N8UV7","asynch","11115",12,12,"click-point"
"N8UV7","asynch","11115",13,13,"click-point"
"H1PJT","asynch","11115",1,1,"click-point"
"H1PJT","asynch","11115",2,2,"click-point"
"H1PJT","asynch","11115",3,3,"click-point"
"H1PJT","asynch","11115",4,4,"click-point"
"H1PJT","asynch","11115",5,5,"click-point"
"H1PJT","asynch","11115",6,6,"click-point"
"H1PJT","asynch","11115",7,7,"click-point"
"H1PJT","asynch","11115",8,8,"click-point"
"H1PJT","asynch","11115",9,9,"click-point"
"H1PJT","asynch","11115",10,10,"click-point"
"H1PJT","asynch","11115",11,11,"click-point"
"H1PJT","asynch","11115",12,12,"click-point"
"H1PJT","asynch","11115",13,12,"click-point"
"6FM91","asynch","11115",1,0,"click-point"
"6FM91","asynch","11115",2,0,"click-point"
"6FM91","asynch","11115",3,0,"click-point"
"6FM91","asynch","11115",4,1,"click-point"
"6FM91","asynch","11115",5,2,"click-point"
"6FM91","asynch","11115",6,2,"click-point"
"6FM91","asynch","11115",7,2,"click-point"
"6FM91","asynch","11115",8,2,"click-point"
"6FM91","asynch","11115",9,2,"click-point"
"6FM91","asynch","11115",10,2,"click-point"
"6FM91","asynch","11115",11,2,"click-point"
"6FM91","asynch","11115",12,2,"click-point"
"6FM91","asynch","11115",13,2,"click-point"
"QGTVP","asynch","11115",1,0,"click-point"
"QGTVP","asynch","11115",2,0,"click-point"
"QGTVP","asynch","11115",3,0,"click-point"
"QGTVP","asynch","11115",4,0,"click-point"
"QGTVP","asynch","11115",5,0,"click-point"
"QGTVP","asynch","11115",6,0,"click-point"
"QGTVP","asynch","11115",7,0,"click-point"
"QGTVP","asynch","11115",8,0,"click-point"
"QGTVP","asynch","11115",9,0,"click-point"
"QGTVP","asynch","11115",10,0,"click-point"
"QGTVP","asynch","11115",11,0,"click-point"
"QGTVP","asynch","11115",12,0,"click-point"
"QGTVP","asynch","11115",13,0,"click-point"
"LOGAL","asynch","11115",1,0,"click-point"
"LOGAL","asynch","11115",2,0,"click-point"
"LOGAL","asynch","11115",3,0,"click-point"
"LOGAL","asynch","11115",4,0,"click-point"
"LOGAL","asynch","11115",5,0,"click-point"
"LOGAL","asynch","11115",6,0,"click-point"
"LOGAL","asynch","11115",7,0,"click-point"
"LOGAL","asynch","11115",8,0,"click-point"
"LOGAL","asynch","11115",9,0,"click-point"
"LOGAL","asynch","11115",10,0,"click-point"
"LOGAL","asynch","11115",11,0,"click-point"
"LOGAL","asynch","11115",12,0,"click-point"
"LOGAL","asynch","11115",13,0,"click-point"
"QMZ24","asynch","11115",1,0,"click-point"
"QMZ24","asynch","11115",2,0,"click-point"
"QMZ24","asynch","11115",3,0,"click-point"
"QMZ24","asynch","11115",4,1,"click-point"
"QMZ24","asynch","11115",5,2,"click-point"
"QMZ24","asynch","11115",6,2,"click-point"
"QMZ24","asynch","11115",7,3,"click-point"
"QMZ24","asynch","11115",8,4,"click-point"
"QMZ24","asynch","11115",9,5,"click-point"
"QMZ24","asynch","11115",10,5,"click-point"
"QMZ24","asynch","11115",11,5,"click-point"
"QMZ24","asynch","11115",12,5,"click-point"
"QMZ24","asynch","11115",13,6,"click-point"
"ADRO0","asynch","11115",1,0,"click-point"
"ADRO0","asynch","11115",2,0,"click-point"
"ADRO0","asynch","11115",3,0,"click-point"
"ADRO0","asynch","11115",4,0,"click-point"
"ADRO0","asynch","11115",5,0,"click-point"
"ADRO0","asynch","11115",6,0,"click-point"
"ADRO0","asynch","11115",7,0,"click-point"
"ADRO0","asynch","11115",8,0,"click-point"
"ADRO0","asynch","11115",9,0,"click-point"
"ADRO0","asynch","11115",10,0,"click-point"
"ADRO0","asynch","11115",11,0,"click-point"
"ADRO0","asynch","11115",12,0,"click-point"
"ADRO0","asynch","11115",13,0,"click-point"
"D6P9K","asynch","11115",1,0,"click-point"
"D6P9K","asynch","11115",2,0,"click-point"
"D6P9K","asynch","11115",3,0,"click-point"
"D6P9K","asynch","11115",4,1,"click-point"
"D6P9K","asynch","11115",5,2,"click-point"
"D6P9K","asynch","11115",6,3,"click-point"
"D6P9K","asynch","11115",7,4,"click-point"
"D6P9K","asynch","11115",8,5,"click-point"
"D6P9K","asynch","11115",9,6,"click-point"
"D6P9K","asynch","11115",10,7,"click-point"
"D6P9K","asynch","11115",11,7,"click-point"
"D6P9K","asynch","11115",12,8,"click-point"
"D6P9K","asynch","11115",13,9,"click-point"
"J3FYJ","asynch","11115",1,0,"click-point"
"J3FYJ","asynch","11115",2,0,"click-point"
"J3FYJ","asynch","11115",3,0,"click-point"
"J3FYJ","asynch","11115",4,0,"click-point"
"J3FYJ","asynch","11115",5,0,"click-point"
"J3FYJ","asynch","11115",6,0,"click-point"
"J3FYJ","asynch","11115",7,0,"click-point"
"J3FYJ","asynch","11115",8,0,"click-point"
"J3FYJ","asynch","11115",9,0,"click-point"
"J3FYJ","asynch","11115",10,0,"click-point"
"J3FYJ","asynch","11115",11,0,"click-point"
"J3FYJ","asynch","11115",12,0,"click-point"
"J3FYJ","asynch","11115",13,0,"click-point"
"NHP4G","asynch","11115",1,0,"click-point"
"NHP4G","asynch","11115",2,0,"click-point"
"NHP4G","asynch","11115",3,0,"click-point"
"NHP4G","asynch","11115",4,0,"click-point"
"NHP4G","asynch","11115",5,0,"click-point"
"NHP4G","asynch","11115",6,0,"click-point"
"NHP4G","asynch","11115",7,0,"click-point"
"NHP4G","asynch","11115",8,0,"click-point"
"NHP4G","asynch","11115",9,0,"click-point"
"NHP4G","asynch","11115",10,0,"click-point"
"NHP4G","asynch","11115",11,0,"click-point"
"NHP4G","asynch","11115",12,0,"click-point"
"NHP4G","asynch","11115",13,0,"click-point"
"QAU26","asynch","11115",1,0,"click-point"
"QAU26","asynch","11115",2,0,"click-point"
"QAU26","asynch","11115",3,0,"click-point"
"QAU26","asynch","11115",4,0,"click-point"
"QAU26","asynch","11115",5,0,"click-point"
"QAU26","asynch","11115",6,0,"click-point"
"QAU26","asynch","11115",7,0,"click-point"
"QAU26","asynch","11115",8,1,"click-point"
"QAU26","asynch","11115",9,2,"click-point"
"QAU26","asynch","11115",10,3,"click-point"
"QAU26","asynch","11115",11,4,"click-point"
"QAU26","asynch","11115",12,5,"click-point"
"QAU26","asynch","11115",13,5,"click-point"
"0S724","asynch","11115",1,0,"click-point"
"0S724","asynch","11115",2,0,"click-point"
"0S724","asynch","11115",3,0,"click-point"
"0S724","asynch","11115",4,0,"click-point"
"0S724","asynch","11115",5,1,"click-point"
"0S724","asynch","11115",6,1,"click-point"
"0S724","asynch","11115",7,1,"click-point"
"0S724","asynch","11115",8,1,"click-point"
"0S724","asynch","11115",9,1,"click-point"
"0S724","asynch","11115",10,1,"click-point"
"0S724","asynch","11115",11,1,"click-point"
"0S724","asynch","11115",12,1,"click-point"
"0S724","asynch","11115",13,2,"click-point"
"2W0WT","asynch","11115",1,0,"click-point"
"2W0WT","asynch","11115",2,0,"click-point"
"2W0WT","asynch","11115",3,0,"click-point"
"2W0WT","asynch","11115",4,0,"click-point"
"2W0WT","asynch","11115",5,1,"click-point"
"2W0WT","asynch","11115",6,1,"click-point"
"2W0WT","asynch","11115",7,1,"click-point"
"2W0WT","asynch","11115",8,1,"click-point"
"2W0WT","asynch","11115",9,1,"click-point"
"2W0WT","asynch","11115",10,1,"click-point"
"2W0WT","asynch","11115",11,1,"click-point"
"2W0WT","asynch","11115",12,1,"click-point"
"2W0WT","asynch","11115",13,1,"click-point"
"NU6LU","asynch","11115",1,0,"click-point"
"NU6LU","asynch","11115",2,0,"click-point"
"NU6LU","asynch","11115",3,0,"click-point"
"NU6LU","asynch","11115",4,0,"click-point"
"NU6LU","asynch","11115",5,0,"click-point"
"NU6LU","asynch","11115",6,0,"click-point"
"NU6LU","asynch","11115",7,0,"click-point"
"NU6LU","asynch","11115",8,0,"click-point"
"NU6LU","asynch","11115",9,0,"click-point"
"NU6LU","asynch","11115",10,0,"click-point"
"NU6LU","asynch","11115",11,0,"click-point"
"NU6LU","asynch","11115",12,0,"click-point"
"NU6LU","asynch","11115",13,0,"click-point"
"31386","asynch","11115",1,0,"click-point"
"31386","asynch","11115",2,1,"click-point"
"31386","asynch","11115",3,1,"click-point"
"31386","asynch","11115",4,1,"click-point"
"31386","asynch","11115",5,2,"click-point"
"31386","asynch","11115",6,2,"click-point"
"31386","asynch","11115",7,3,"click-point"
"31386","asynch","11115",8,4,"click-point"
"31386","asynch","11115",9,5,"click-point"
"31386","asynch","11115",10,6,"click-point"
"31386","asynch","11115",11,7,"click-point"
"31386","asynch","11115",12,8,"click-point"
"31386","asynch","11115",13,8,"click-point"
"BCPEC","asynch","11115",1,0,"click-point"
"BCPEC","asynch","11115",2,0,"click-point"
"BCPEC","asynch","11115",3,0,"click-point"
"BCPEC","asynch","11115",4,0,"click-point"
"BCPEC","asynch","11115",5,0,"click-point"
"BCPEC","asynch","11115",6,0,"click-point"
"BCPEC","asynch","11115",7,0,"click-point"
"BCPEC","asynch","11115",8,0,"click-point"
"BCPEC","asynch","11115",9,0,"click-point"
"BCPEC","asynch","11115",10,0,"click-point"
"BCPEC","asynch","11115",11,0,"click-point"
"BCPEC","asynch","11115",12,0,"click-point"
"BCPEC","asynch","11115",13,0,"click-point"
"6Q1UC","asynch","11115",1,0,"click-point"
"6Q1UC","asynch","11115",2,0,"click-point"
"6Q1UC","asynch","11115",3,0,"click-point"
"6Q1UC","asynch","11115",4,0,"click-point"
"6Q1UC","asynch","11115",5,0,"click-point"
"6Q1UC","asynch","11115",6,0,"click-point"
"6Q1UC","asynch","11115",7,0,"click-point"
"6Q1UC","asynch","11115",8,0,"click-point"
"6Q1UC","asynch","11115",9,0,"click-point"
"6Q1UC","asynch","11115",10,0,"click-point"
"6Q1UC","asynch","11115",11,0,"click-point"
"6Q1UC","asynch","11115",12,0,"click-point"
"6Q1UC","asynch","11115",13,0,"click-point"
"OU3SL","asynch","11115",1,0,"click-point"
"OU3SL","asynch","11115",2,0,"click-point"
"OU3SL","asynch","11115",3,0,"click-point"
"OU3SL","asynch","11115",4,0,"click-point"
"OU3SL","asynch","11115",5,0,"click-point"
"OU3SL","asynch","11115",6,0,"click-point"
"OU3SL","asynch","11115",7,0,"click-point"
"OU3SL","asynch","11115",8,0,"click-point"
"OU3SL","asynch","11115",9,0,"click-point"
"OU3SL","asynch","11115",10,0,"click-point"
"OU3SL","asynch","11115",11,0,"click-point"
"OU3SL","asynch","11115",12,0,"click-point"
"OU3SL","asynch","11115",13,0,"click-point"
"ZRRZW","asynch","11115",1,0,"click-point"
"ZRRZW","asynch","11115",2,0,"click-point"
"ZRRZW","asynch","11115",3,0,"click-point"
"ZRRZW","asynch","11115",4,0,"click-point"
"ZRRZW","asynch","11115",5,0,"click-point"
"ZRRZW","asynch","11115",6,0,"click-point"
"ZRRZW","asynch","11115",7,0,"click-point"
"ZRRZW","asynch","11115",8,0,"click-point"
"ZRRZW","asynch","11115",9,0,"click-point"
"ZRRZW","asynch","11115",10,0,"click-point"
"ZRRZW","asynch","11115",11,0,"click-point"
"ZRRZW","asynch","11115",12,1,"click-point"
"ZRRZW","asynch","11115",13,1,"click-point"
"GNP7O","asynch","11115",1,0,"click-point"
"GNP7O","asynch","11115",2,0,"click-point"
"GNP7O","asynch","11115",3,0,"click-point"
"GNP7O","asynch","11115",4,0,"click-point"
"GNP7O","asynch","11115",5,0,"click-point"
"GNP7O","asynch","11115",6,0,"click-point"
"GNP7O","asynch","11115",7,0,"click-point"
"GNP7O","asynch","11115",8,0,"click-point"
"GNP7O","asynch","11115",9,0,"click-point"
"GNP7O","asynch","11115",10,0,"click-point"
"GNP7O","asynch","11115",11,0,"click-point"
"GNP7O","asynch","11115",12,0,"click-point"
"GNP7O","asynch","11115",13,0,"click-point"
"VWB05","asynch","11115",1,0,"click-point"
"VWB05","asynch","11115",2,0,"click-point"
"VWB05","asynch","11115",3,0,"click-point"
"VWB05","asynch","11115",4,0,"click-point"
"VWB05","asynch","11115",5,0,"click-point"
"VWB05","asynch","11115",6,0,"click-point"
"VWB05","asynch","11115",7,0,"click-point"
"VWB05","asynch","11115",8,0,"click-point"
"VWB05","asynch","11115",9,0,"click-point"
"VWB05","asynch","11115",10,0,"click-point"
"VWB05","asynch","11115",11,0,"click-point"
"VWB05","asynch","11115",12,0,"click-point"
"VWB05","asynch","11115",13,0,"click-point"
