"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"MABX4","kilo","fall17","121",3,8,11,0,1,1,"1","2","full",423582,583213,152938,270644,1,"English","Third","Social Sciences (incl. CogSci)","United States","Male",20
"H7T38","hotel","fall17","311",5,10,15,0,2,2,"3","1","full",471657,736374,216996,254661,1,"English","Second","Natural Sciences","USA","Female",19
"W7WZ4","echo","fall17","211",1,1,2,1,4,5,"2","1","full",756647,1055366,285532,471115,1,"Spanish","Fourth","Biomedical & Health Sciences","United States","Female",24
"TX10R","india","fall17","111",0,2,2,5,8,13,"1","1","full",511221,629994,253224,257997,1,"English","Third","Engineering","USA","Male",20
"M1REU","juliet","fall17","111",5,10,15,0,2,2,"1","1","full",612448,832906,197899,414549,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",22
"Q7P0Z","lima","fall17","221",5,10,15,0,2,2,"2","2","full",317984,454972,119209,198775,1,"English","Second","Math or Computer Sciences","US","Male",19
"F66QO","charlie","fall17","311",4,6,10,0,3,3,"3","1","full",519308,671573,215286,304022,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"HP71D","golf","fall17","221",1,2,3,0,8,8,"2","2","full",537529,819762,239714,297815,1,"English","Second","Social Sciences (incl. CogSci)","India","Female",20
"G5XSH","lima","fall17","311",3,8,11,2,1,3,"3","1","full",314097,466123,123279,190818,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"K6ZDW","alfa","fall17","321",4,7,11,0,1,1,"3","2","full",759841,1079896,316212,443629,1,"Spanish","First","Math or Computer Sciences","U.S.A","Male",18
"0W2TN","foxtrot","fall17","221",4,9,13,0,1,1,"2","2","full",373565,537564,123922,249643,1,"English","Second","Biomedical & Health Sciences","america","Female",18
"T432U","alfa","fall17","311",4,9,13,0,2,2,"3","1","full",463237,762168,163672,299565,1,"English","Second","Biomedical & Health Sciences","United States of America","Male",19
"RYVXA","charlie","fall17","221",5,10,15,0,2,2,"2","2","full",542201,761287,230688,311513,1,"English","Fifth","Biomedical & Health Sciences","United States","Male",23
"NL1H0","india","fall17","311",5,8,13,0,2,2,"3","1","full",433623,601345,163898,269725,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"TCJQ2","juliet","fall17","211",2,5,7,2,5,7,"2","1","full",599490,727459,137344,462146,1,"English","Third","Humanities","United States","Female",21
"J39G9","foxtrot","fall17","311",5,9,14,0,1,1,"3","1","full",759150,991582,398875,360275,1,"English","First","Biomedical & Health Sciences","United States","Male",19
"LFDYR","lima","fall17","221",3,9,12,0,2,2,"2","2","full",383622,530781,158910,224712,1,"English","Third","Social Sciences (incl. CogSci)","USA","Male",21
"3ZLSF","mike","fall17","211",3,10,13,2,2,4,"2","1","full",337405,528688,110455,226950,1,"Mandarin or Cantonese","Second","Engineering","USA","Male",20
"KAK9U","echo","fall17","321",5,10,15,0,2,2,"3","2","full",446281,765320,156906,289375,1,"Other","Second","Biomedical & Health Sciences","India","Male",18
"RVFBM","juliet","fall17","321",5,8,13,0,2,2,"3","2","full",560475,700948,251094,309381,1,"English","First","Fine Arts","USA","Female",18
"KPQ3L","india","fall17","321",3,10,13,0,2,2,"3","2","full",576765,738504,264405,312360,1,"English","First","Social Sciences (incl. CogSci)","USA","Male",18
"SAAFX","lima","fall17","121",5,8,13,0,1,1,"1","2","full",438086,613870,116888,321198,1,"English","First","Natural Sciences","United States","Female",18
"O577M","pinecone","fall17","211",4,7,11,0,1,1,"2","1","full",311332,471924,131438,179894,1,"English","Fifth","Biomedical & Health Sciences","USA","Female",23
"DF15K","hotel","fall17","211",3,10,13,1,2,3,"2","1","full",386007,608330,158427,227580,1,"English","Fourth","Biomedical & Health Sciences","United States","Female",21
"EPAUX","kilo","fall17","221",4,9,13,0,1,1,"2","2","full",562542,725646,268233,294309,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"VA4GG","lima","fall17","211",4,10,14,0,2,2,"2","1","full",294110,446195,127020,167090,1,"English","First","Social Sciences (incl. CogSci)","United States","Male",18
"VLTVY","hotel","fall17","321",3,8,11,0,4,4,"3","2","full",227776,474729,95312,132464,1,"Mandarin or Cantonese","Second","Natural Sciences","USA","Female",19
"SZH6M","bravo","fall17","321",4,9,13,0,1,1,"3","2","full",493302,999133,225589,267713,1,"English","Fifth","Social Sciences (incl. CogSci)","United States of America","Male",23
"JO9RJ","lima","fall17","211",5,9,14,0,2,2,"2","1","full",311473,446946,105814,205659,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"WXWJ0","alfa","fall17","311",5,9,14,0,1,1,"3","1","full",497798,854303,166168,331630,1,"English","First","Social Sciences (incl. CogSci)","united states","Female",18
"AZ6AR","hotel","fall17","321",5,10,15,0,2,2,"3","2","full",325928,508964,153440,172488,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"W857O","lima","fall17","211",3,6,9,0,6,6,"2","1","full",470527,636946,185019,285508,1,"English","Fourth","Biomedical & Health Sciences","United States","Male",26
"2VK07","india","fall17","211",4,9,13,0,2,2,"2","1","full",378165,544582,198077,180088,1,"English","Fourth","Fine Arts","US","Male",21
"G7CFM","hotel","fall17","321",4,8,12,0,1,1,"3","2","full",377117,628291,155425,221692,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",22
"8DU2W","hotel","fall17","221",5,9,14,0,1,1,"2","2","full",382935,640561,204444,178491,1,"English","Fourth","Biomedical & Health Sciences","United States","Female",21
"YF1HS","charlie","fall17","321",4,8,12,0,1,1,"3","2","full",438175,578347,189852,248323,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"4GSTQ","delta","fall17","111",0,2,2,4,9,13,"1","1","full",523058,805271,275159,247899,1,"English","Fifth","Social Sciences (incl. CogSci)","United States of America","Male",22
"WJ5M4","mike","fall17","311",5,10,15,0,2,2,"3","1","full",671882,843473,276547,395335,1,"Other","Fourth","Social Sciences (incl. CogSci)","Italy","Female",21
"VT3ZX","mike","fall17","121",3,8,11,0,1,1,"1","2","full",510609,716153,255493,255116,1,"Other","Second","Social Sciences (incl. CogSci)","USA","Female",19
"HKSU4","charlie","fall17","121",1,3,4,0,5,5,"1","2","full",454187,580262,216055,238132,1,"English","Second","Natural Sciences","USA","Female",19
"3W8J9","golf","fall17","211",0,2,2,2,9,11,"2","1","full",492292,747432,199368,292924,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"XY7JT","hotel","fall17","311",5,9,14,0,1,1,"3","1","full",351744,604535,99061,252683,1,"English","Third","Math or Computer Sciences","Malaysia","Male",20
"FGMSN","juliet","fall17","121",0,1,1,0,7,7,"1","2","full",584329,713896,324411,259918,1,"English","Fourth","Social Sciences (incl. CogSci)","U.A.E","Female",33
"YA9CN","mike","fall17","211",4,7,11,0,1,1,"2","1","full",323110,527779,99758,223352,1,"English","Third","Social Sciences (incl. CogSci)","USA","Male",20
"P1BZ9","echo","fall17","211",1,1,2,2,4,6,"2","1","full",343869,645557,140855,203014,1,"English","Second","Social Sciences (incl. CogSci)","u.s.\n","Female",19
"74C5E","india","fall17","221",5,8,13,0,2,2,"2","2","full",487222,621384,199930,287292,1,"English","Second","Humanities","United States","Male",19
"RM2SM","kilo","fall17","321",5,9,14,0,1,1,"3","2","full",567088,760187,297587,269501,1,"English","Second","Natural Sciences","United States of America","Female",19
"E4JSN","india","fall17","211",1,8,9,4,2,6,"2","1","full",324447,987816,148771,175676,1,"English","Third","Social Sciences (incl. CogSci)","United States","Male",20
"VUHEV","lima","fall17","221",5,9,14,0,1,1,"2","2","full",333786,503976,85350,248436,1,"English","Fourth","Biomedical & Health Sciences","USA","Female",21
"5EWM2","mike","fall17","121",0,2,2,0,8,8,"1","2","full",395432,589822,175310,220122,1,"English","Fifth","Biomedical & Health Sciences","United States","Male",25
"ZZYXF","hotel","fall17","121",0,2,2,0,10,10,"1","2","full",604171,877798,270227,333944,1,"English","Third","Humanities","usa","Female",20
"NSPM3","india","fall17","321",5,10,15,0,2,2,"3","2","full",357990,759641,121856,236134,1,"Other","Third","Biomedical & Health Sciences","USA","Male",20
"OMHWY","kilo","fall17","221",1,9,10,0,1,1,"2","2","full",585559,794665,259949,325610,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
