"","subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt","item_q1_state","OSPAN.weighted","OSPAN.math_acc","OSPAN.order_acc","z_ospan","ospan_split"
"31","98VDX","121","fall21","asynch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.6098166666667,"NULL","NULL","NULL","NULL","impasse","online-replication",1.64047619047619,6.94117647058824,0.329239388062917,2.42307692307692,0,2,2,-8,0.153846153846154,9.94386666666667,45.8947692307692,6.042,84.142,2,7,0,3,1,0,0,1,0,-1,"Satisfice",24.047,1,1,"Triangular",43.29,0,"Orthogonal",16.757,0,"Orthogonal",84.142,1,-2,4.01698333333333,1,-6,5.92688333333333,"orth-like",13.0344827586207,0.931034482758621,0.466666666666667,-0.818285564215286,"low-memory"
"32","9EYZ0","121","fall21","asynch","Female",20,"English","Third","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",13.0657166666667,"NULL","NULL","NULL","NULL","impasse","online-replication",11.7994047619048,0.349509803921569,7.50641025641026,0.626373626373626,0,10,10,10.5,0.769230769230769,7.12235,32.8723846153846,9.052,62.026,11,1,1,0,0,1,0,0,0,0.5,"Tversky",27.496,1,1,"Triangular",44.461,1,"Triangular",62.026,1,"Triangular",58.626,4,4.5,2.7442,6,6,4.37815,"tri-like",25.1034482758621,0.896551724137931,0.933333333333333,0.814637358330335,"high-memory"
"33","9S5Z0","111","fall21","asynch","Male",23,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",23.40185,"NULL","NULL","NULL","NULL","control","online-replication",-0.648084268672504,11.8041666666667,-0.146250808015514,0,0,0,0,-12.5,0,16.6867333333333,77.0156923076923,11.599,262.081,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",44.119,0,-1,"Orthogonal",87.521,0,"Orthogonal",32.503,0,"Orthogonal",262.081,0,-5,3.19853333333333,0,-7.5,13.4882,"orth-like",2.17241379310345,0.724137931034483,0.1,-2.28791619450634,"low-memory"
"34","A9JCU","111","fall21","asynch","Male",18,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.7825,"NULL","NULL","NULL","NULL","control","online-replication",0.169072594072594,8.77724358974359,-0.587427278603749,0,0,0,0,-9,0,7.61801666666667,35.1600769230769,5.359,84.91,1,9,0,0,3,0,2,1,0,-1,"Orthogonal",18.744,0,-0.5,"?",84.91,0,"Orthogonal",8.251,0,"Orthogonal",78.79,0,-4,2.56351666666667,0,-5,5.0545,"orth-like",23.2758620689655,0.931034482758621,0.833333333333333,0.567366172916277,"high-memory"
"35","ACEXT","121","fall21","asynch","Female",22,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",15.7999166666667,"NULL","NULL","NULL","NULL","impasse","online-replication",1.25521978021978,-0.0166666666666666,1.00938644688645,-0.302197802197802,0,1,1,-1.5,0.0769230769230769,13.3353833333333,61.5479230769231,5.936,233.249,2,0,1,0,10,1,8,2,0,-0.5,"?",137.973,0,-0.5,"?",30.207,0,"Triangular",57.951,0,"Tversky",36.733,0,-2,8.29373333333333,1,0.5,5.04165,"unknown",30,1,1,1.47713751547741,"high-memory"
"36","ALN2P","121","fall21","asynch","Male",23,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.2366333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.00833333333333332,6,-0.25,0,0,0,0,-6,0,6.6853,30.8552307692308,6.33,88.685,0,6,0,0,7,0,0,7,0,0,"blank",24.853,0,0,"blank",24.118,0,"Orthogonal",88.685,0,"blank",6.33,0,0,1.8941,0,-6,4.7912,"unknown",5.55172413793103,0.793103448275862,0.233333333333333,-1.83069777619357,"low-memory"
"37","ARCSZ","121","fall21","asynch","Male",20,"Mandarin or Cantonese","Third","us\nus","NULL","NULL","NULL","NULL","NULL","NULL",12.5807666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",0.526890756302521,6.86666666666667,0.34733893557423,1.35164835164835,0,1,1,-7,0.0769230769230769,7.64428333333333,35.2813076923077,3.826,99.553,1,7,1,1,3,1,1,2,0,0.5,"Tversky",48.753,1,1,"Triangular",22.387,0,"Orthogonal",14.261,0,"Orthogonal",68.353,1,0.5,2.10571666666667,0,-7.5,5.53856666666667,"tri-like",24.8275862068966,0.827586206896552,1,0.777313405815009,"high-memory"
"38","AU0MW","121","fall21","asynch","Male",20,"Other","Third","United Arab Emirates","NULL","NULL","NULL","NULL","NULL","NULL",7.97011666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.192156862745098,8,-0.426470588235294,0,0,0,0,-8,0,5.80115,26.7745384615385,6.7,56.284,0,8,0,0,5,0,0,5,0,0,"blank",22.305,0,0,"blank",49.189,0,"Orthogonal",16.476,0,"Orthogonal",39.816,0,0,2.6575,0,-8,3.14365,"unknown",27.9310344827586,0.931034482758621,1,1.19720787161244,"high-memory"
"39","B44PE","121","fall21","asynch","Male",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.2414833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",11.8619047619048,-0.208823529411765,7.50641025641026,0.626373626373626,0,11,11,11,0.846153846153846,5.77706666666667,26.6633846153846,6.472,75.289,11,0,1,0,1,1,1,0,0,0.5,"Tversky",44.23,1,1,"Triangular",9.652,1,"Triangular",75.289,1,"Triangular",20.31,4,4.5,2.34705,7,6.5,3.43001666666667,"tri-like",11.1034482758621,0.793103448275862,0.466666666666667,-1.07955323182258,"low-memory"
"40","BK0TH","111","fall21","asynch","Male",20,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",10.3078666666667,"NULL","NULL","NULL","NULL","control","online-replication",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.70368333333333,30.9400769230769,6.663,53.918,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",46.408,0,-1,"Orthogonal",51.285,0,"Orthogonal",18.7,0,"Orthogonal",42.128,0,-5,2.8618,0,-8,3.84188333333333,"orth-like",30,1,1,1.47713751547741,"high-memory"
"41","BR500","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.0677,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.0629901960784314,7,-0.367647058823529,0,0,0,0,-7.5,0,6.05475,27.945,5.222,105.714,0,7,0,0,6,0,1,5,0,0,"blank",25.127,0,0,"blank",105.714,0,"Orthogonal",10.459,0,"Orthogonal",27.968,0,0,3.84506666666667,0,-7.5,2.20968333333333,"unknown",23.2758620689655,0.931034482758621,0.833333333333333,0.567366172916277,"high-memory"
