"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode"
"P9XXX","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"BK",FALSE,4.441,2,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,29.448,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,20.932,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,57.801,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,87.732,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,175.518,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,21.801,2,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,37.055,2,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,41.317,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,33.461,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,103.894,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,17.045,2,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,18.832,1,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,47.643,2,"Orth-Full","online-replication"
"VO9EL","111","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,22.339,1,"Orth-Full","online-replication"
