"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s","condition","pretty_condition"
"K2NYT","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",13.1684666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","B",46.711,"1113","cross"
"K2NYT","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",14.2770166666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","E,F",66.208,"1113","cross"
"TZV3W","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",2.40888333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",21.33,"1112","arrow"
"TZV3W","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",2.7004,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",17.393,"1112","arrow"
"TZV3W","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",3.14551666666667,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",26.616,"1112","arrow"
"TZV3W","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",4.20063333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",63.209,"1112","arrow"
"TZV3W","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",5.24398333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","U",62.175,"1112","arrow"
"TZV3W","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","2","",600,600,"triangular",5.51245,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",8.005,"1112","arrow"
"TZV3W","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",5.74945,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",14.123,"1112","arrow"
"TZV3W","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",6.30271666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",33.105,"1112","arrow"
