"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode","IMPASSE","score_TRI","score_ORTH","score_BOTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","override","score_SCALED","score_STATE"
"ZTKAA","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"FZ",FALSE,34.37,2,"Orth-Full","online-replication","none",-0.125,0.433333333333333,0.178571428571429,NA,NA,0.025,-0.125,0.178571428571429,-0.125,0,0,0,0.178571428571429,"score_TV_end",NA,NA,0.433333333333333,"score_ORTH",0.558333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZTKAA","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"EIJ",FALSE,67.886,3,"Orth-Full","online-replication","none",-0.2,0.857142857142857,0.375,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0.857142857142857,"score_ORTH",1.05714285714286,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZTKAA","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,19.462,1,"Orth-Full","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"ZTKAA","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,35.089,1,"Orth-Full","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZTKAA","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,12.738,2,"Orth-Full","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZTKAA","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,75.068,1,"Orth-Full","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZTKAA","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,87.669,2,"Orth-Full","online-replication","none",0.433333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZTKAA","111","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,35.499,1,"Orth-Full","online-replication","none",-0.0588235294117647,1,0.5,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,1,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZTKAA","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E",FALSE,66.339,1,"Orth-Full","online-replication","none",-0.0625,0.5,0.25,NA,NA,-0.0666666666666667,-0.0588235294117647,NA,NA,0,0,0,-0.0588235294117647,"score_TV_start",NA,NA,0.5,"score_ORTH",0.5625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,38.258,1,"Orth-Full","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,57.353,1,"Orth-Full","online-replication","none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,25.315,1,"Orth-Full","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"DE",FALSE,12.899,2,"Orth-Full","online-replication","none",-0.142857142857143,-0.166666666666667,-0.153846153846154,NA,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,0,0,-0.142857142857143,"score_TV_start",NA,NA,-0.142857142857143,"score_TRI",0.0238095238095238,"?","?","neg.trans","",-0.5,"unknown"
"LY8BF","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"HJ",FALSE,109.704,2,"Orth-Full","online-replication","none",-0.181818181818182,-0.153846153846154,-0.153846153846154,NA,NA,-0.285714285714286,-0.153846153846154,-0.166666666666667,NA,0,0,0,-0.153846153846154,"score_TV_start",NA,NA,-0.153846153846154,"score_TVERSKY",0.027972027972028,"?","?","neg.trans","",-0.5,"unknown"
"LY8BF","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,16.894,2,"Orth-Full","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"LY8BF","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,50.789,2,"Orth-Full","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,133.165,1,"Orth-Full","online-replication","none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,75.81,1,"Orth-Full","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"LY8BF","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,290.149,1,"Orth-Full","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,8.825,2,"Orth-Full","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,17.594,1,"Orth-Full","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,59.329,2,"Orth-Full","online-replication","none",0.433333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"LY8BF","111","winter22","asynch","Which shift(s) end at 3pm?",14,"F",FALSE,93.947,1,"Orth-Full","online-replication","none",-0.0588235294117647,-0.0588235294117647,-0.0625,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,-0.0588235294117647,"score_TRI",0,"?","?","neg.trans","",-0.5,"unknown"
"LY8BF","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,97.564,2,"Orth-Full","online-replication","none",-0.125,1,0.5,NA,NA,-0.133333333333333,-0.117647058823529,NA,NA,0,0,0,-0.117647058823529,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"58DU7","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,41.165,1,"Orth-Full","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"58DU7","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,23.904,1,"Orth-Full","online-replication","none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"58DU7","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,12.687,1,"Orth-Full","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"58DU7","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,23.942,1,"Orth-Full","online-replication","none",-0.0714285714285714,1,0.5,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"58DU7","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,99.301,1,"Orth-Full","online-replication","none",-0.0909090909090909,1,0.5,NA,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0,0,0.5,"score_TV_end",NA,NA,1,"score_ORTH",1.09090909090909,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"58DU7","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,9.554,2,"Orth-Full","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"58DU7","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,78.588,2,"Orth-Full","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"58DU7","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,45.678,1,"Orth-Full","online-replication","none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
