"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","pretty_condition","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_rt","item_test_NABS","item_test_rt"
"431GR","111","fall21","asynch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.29108333333333,"control",11.7666666666667,-0.802413273001508,7.33216783216783,0,0,11,11,11.5,4.86775,22.4665384615385,7.681,73.987,12,0,0,0,1,0,1,0,1,"Triangular",73.987,1,"Triangular",15.118,1,"Triangular",32.776,1,"Triangular",16.396,4,130.618,7,161.447
"43L8M","121","winter22","asynch","Male",22,"English","Fourth","US","I tried my best on each question","2","3","4","I misunderstood the graph for the first 3 or so questions, so those answers are blank. :(","Nope",6.2756,"impasse",10,-0.208823529411765,5.58333333333333,-0.153846153846154,0,10,10,10,2.65368333333333,12.2477692307692,6.544,25.412,10,0,0,0,3,0,0,3,0,"blank",15.473,1,"Triangular",13.965,1,"Triangular",11.683,1,"Triangular",11.435,2,73.591,8,85.63
"4FETN","121","spring18","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.7670166666667,"impasse",11.9285714285714,-0.208823529411765,6.43498168498169,1.76923076923077,0,12,12,11,6.38151666666667,29.4531538461538,9.947,57.191,12,0,0,1,0,0,0,0,0,"Satisfice",57.191,1,"Triangular",29.416,1,"Triangular",53.428,1,"Triangular",18.654,4,181.681,8,201.21
"4GC8J","121","winter22","asynch","Female",19,"Mandarin","Second","China","I tried my best on each question","1","4","4","","no",8.68185,"impasse",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,2.9526,13.6273846153846,5.486,44.615,13,0,0,0,0,0,0,0,1,"Triangular",44.615,1,"Triangular",8.565,1,"Triangular",15.398,1,"Triangular",11.713,5,76.004,8,101.152
"4GSTQ","111","fall17","lab-synch","Male",22,"English","Fifth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.4211833333333,"control",-0.586179506767742,12.5,-0.217679379444085,0,0,0,0,-13,8.23256666666667,37.9964615384615,6.992,118.586,0,13,0,0,0,0,0,0,0,"Orthogonal",35.883,0,"Orthogonal",118.586,0,"Orthogonal",19.592,0,"Orthogonal",40.501,0,275.159,0,218.795
"4KH27","111","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question","3","3","2","","no",11.13715,"control",0.70115815556992,10.8666666666667,0.138062917474682,0,0,1,1,-10,6.29518333333333,29.0546923076923,5.286,94.241,1,11,0,0,1,0,0,1,0,"Orthogonal",33.39,0,"blank",94.241,0,"Orthogonal",18.071,1,"Triangular",26.116,0,200.304,1,177.407
"4RGO3","111","spring18","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2828166666667,"control",-0.514750935339171,12,-0.146250808015514,0,0,0,0,-12.5,12.8587333333333,59.348,8.59,163.99,0,12,0,0,1,0,1,0,0,"Orthogonal",21.581,0,"Orthogonal",109.307,0,"Orthogonal",29.56,0,"Orthogonal",96.642,0,364.513,0,407.011
"4URRL","121","fall21","asynch","Female",21,"English","Fourth","United States Of America ","NULL","NULL","NULL","NULL","NULL","NULL",20.88065,"impasse",0.413383430295195,7.5,-0.914350355526826,1.11538461538462,0,0,0,-10,14.5898333333333,67.3376923076923,14.161,224.568,1,8,0,2,2,0,2,0,0,"Satisfice",110.477,0,"Triangular",92.925,0,"Orthogonal",39.032,0,"Orthogonal",224.568,0,295.642,0,579.748
"4YF1J","111","winter22","asynch","Male",21,"English","Third","United States","I tried my best on each question","3","3","1","","",6.9107,"control",0.563553113553114,9.75641025641026,-0.735778926955398,0,0,1,1,-9.5,4.0761,18.8127692307692,6.729,53.766,1,10,0,0,2,0,1,1,0,"Orthogonal",12.789,1,"Triangular",15.001,0,"Orthogonal",24.384,0,"Orthogonal",53.766,1,50.991,0,193.575
"57C0V","121","fall21","asynch","Female",20,"Spanish","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",20.4693,"impasse",0.798914565826331,7,-0.512322236586942,1.5,0,1,1,-7,11.90745,54.9574615384615,16.537,132.02,1,7,0,1,4,0,0,4,0,"blank",28.553,0,"blank",85.633,0,"Orthogonal",29.916,0,"Orthogonal",37.445,1,241.267,0,473.18
"57KJC","121","fall21","asynch","Male",22,"Spanish","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.4557,"impasse",12.9285714285714,-0.208823529411765,7.50641025641026,0.626373626373626,0,12,12,12.5,5.66525,26.1473076923077,9.662,56.166,12,0,1,0,0,1,0,0,0,"Tversky",27.72,1,"Triangular",37.973,1,"Triangular",56.166,1,"Triangular",10.679,4,151.573,8,188.342
"5EWM2","121","fall17","lab-synch","Male",25,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.83036666666667,"impasse",0.493040293040293,5.9375,1.89173938806292,0.615384615384615,1,0,0,-5.5,5.90681666666667,27.2622307692308,8.214,56.959,1,6,2,1,3,2,1,2,0,"Satisfice",27.155,0,"Triangular",56.959,0,"Orthogonal",19.333,0,"Orthogonal",35.53,0,175.31,0,179.099
"5P3XF","121","fall21","asynch","Female",20,"Spanish","Second","Ecuador","NULL","NULL","NULL","NULL","NULL","NULL",8.77106666666667,"impasse",10.7333333333333,-0.842156862745098,7.50641025641026,0.697802197802198,0,11,11,10,5.96161666666667,27.5151538461538,6.296,118.073,11,0,0,0,2,0,2,0,1,"Triangular",8.526,1,"Triangular",118.073,1,"Triangular",24.553,1,"Triangular",105.296,5,157.998,6,199.699
"5QAJA","121","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","2","3","3","","No",10.93155,"impasse",9.7952380952381,0.724509803921569,6.60805860805861,0.345238095238095,0,9,9,6.5,6.48906666666667,29.9495384615385,9.344,81.65,9,0,0,1,3,0,3,0,1,"Triangular",51.312,0,"frenzy",81.65,1,"Triangular",27.665,1,"Triangular",17.157,2,220.014,7,169.33
"5TMTW","121","fall21","asynch","Male",19,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.3727166666667,"impasse",-0.715050635638871,8,-0.942954104718811,4,0,0,0,-12,8.35865,38.5783846153846,6.231,87.621,0,8,0,4,1,0,0,1,0,"Satisfice",59.061,0,"blank",87.621,0,"Orthogonal",22.316,0,"Orthogonal",40.702,0,302.9,0,198.619
"5WPCV","121","fall17","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.8298,"impasse",-0.340508511096746,8,-0.581232492997199,0.423076923076923,0,0,0,-9.5,14.6468166666667,67.6006923076923,8.813,203.832,0,8,0,1,4,0,1,3,0,"blank",28.97,0,"?",131.965,0,"Orthogonal",40.097,0,"Orthogonal",86.843,0,597.908,0,280.901
