"subject","mode","pretty_condition","question","score"
"GF1FQ","lab-synch","impasse",12,-5
"GF1FQ","lab-synch","impasse",13,-6
"N53LC","lab-synch","control",1,-1
"N53LC","lab-synch","control",2,-2
"N53LC","lab-synch","control",3,-3
"N53LC","lab-synch","control",4,-4
"N53LC","lab-synch","control",5,-5
"N53LC","lab-synch","control",6,-6
"N53LC","lab-synch","control",7,-7
"N53LC","lab-synch","control",8,-8
"N53LC","lab-synch","control",9,-9
"N53LC","lab-synch","control",10,-10
"N53LC","lab-synch","control",11,-11
"N53LC","lab-synch","control",12,-12
"N53LC","lab-synch","control",13,-13
"QSGCP","lab-synch","control",1,-1
"QSGCP","lab-synch","control",2,-2
"QSGCP","lab-synch","control",3,-3
"QSGCP","lab-synch","control",4,-4
"QSGCP","lab-synch","control",5,-5
"QSGCP","lab-synch","control",6,-6
"QSGCP","lab-synch","control",7,-7
"QSGCP","lab-synch","control",8,-8
"QSGCP","lab-synch","control",9,-9
"QSGCP","lab-synch","control",10,-10
"QSGCP","lab-synch","control",11,-11
"QSGCP","lab-synch","control",12,-12
"QSGCP","lab-synch","control",13,-13
"TX10R","lab-synch","control",1,-1
"TX10R","lab-synch","control",2,-2
"TX10R","lab-synch","control",3,-3
"TX10R","lab-synch","control",4,-4
"TX10R","lab-synch","control",5,-5
"TX10R","lab-synch","control",6,-6
"TX10R","lab-synch","control",7,-7
"TX10R","lab-synch","control",8,-8
"TX10R","lab-synch","control",9,-7
"TX10R","lab-synch","control",10,-8
"TX10R","lab-synch","control",11,-9
"TX10R","lab-synch","control",12,-10
"TX10R","lab-synch","control",13,-11
"2BBZ9","lab-synch","control",1,-1
"2BBZ9","lab-synch","control",2,-2
"2BBZ9","lab-synch","control",3,-3
"2BBZ9","lab-synch","control",4,-4
"2BBZ9","lab-synch","control",5,-5
"2BBZ9","lab-synch","control",6,-6
"2BBZ9","lab-synch","control",7,-7
"2BBZ9","lab-synch","control",8,-8
"2BBZ9","lab-synch","control",9,-9
"2BBZ9","lab-synch","control",10,-10
"2BBZ9","lab-synch","control",11,-11
"2BBZ9","lab-synch","control",12,-12
"2BBZ9","lab-synch","control",13,-13
"N2UK6","lab-synch","control",1,-1
"N2UK6","lab-synch","control",2,-2
"N2UK6","lab-synch","control",3,-3
"N2UK6","lab-synch","control",4,-4
"N2UK6","lab-synch","control",5,-5
"N2UK6","lab-synch","control",6,-6
"N2UK6","lab-synch","control",7,-7
"N2UK6","lab-synch","control",8,-8
"N2UK6","lab-synch","control",9,-9
"N2UK6","lab-synch","control",10,-10
"N2UK6","lab-synch","control",11,-11
"N2UK6","lab-synch","control",12,-12
"N2UK6","lab-synch","control",13,-13
"EFTYS","lab-synch","control",1,-1
"EFTYS","lab-synch","control",2,-2
"EFTYS","lab-synch","control",3,-3
