"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"J994U","thine","spring18","111",0,2,2,5,8,13,"1","1","full",590961,798111,240994,349967,1,"English","Third","Social Sciences (incl. CogSci)","Sri Lanka","Male",20
"6Y93F","foxtrot","spring18","111",0,2,2,3,9,12,"1","1","Orthogonal-XInside-YFull",976754,1072340,389831,586923,1,"English","Fourth","Biomedical & Health Sciences","United States","Male",22
"FJV2A","delta","spring18","113",0,2,2,4,9,13,"1","1","Triangular-XInside-YInside",707539,804068,279577,427962,1,"English","Third","Biomedical & Health Sciences","United States of America","Female",21
"M3NXB","kilo","spring18","113",2,7,9,0,2,2,"1","1","Triangular-XInside-YInside",720228,862324,204721,515507,1,"English","Second","Natural Sciences","Egypt","Female",19
"FN9LT","kilo","spring18","113",0,2,2,5,9,14,"1","1","Triangular-XInside-YInside",691366,818369,336434,354932,1,"Other","Fourth","Biomedical & Health Sciences","South Korea","Female",23
"S4G9E","tree","spring18","111",0,2,2,5,10,15,"1","1","full",377266,593948,143558,233708,1,"English","Fourth","Biomedical & Health Sciences","United States","Female",21
"TCH5L","men","spring18","113",1,2,3,1,9,10,"1","1","diagonal",728681,913929,219966,508715,1,"Mandarin or Cantonese","Fifth","Social Sciences (incl. CogSci)","Indonesia ","Male",22
"X66XB","kilo","spring18","113",0,2,2,5,10,15,"1","1","Triangular-XInside-YInside",673041,782937,230256,442785,1,"Spanish","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"5GELG","delta","spring18","113",1,2,3,2,10,12,"1","1","Triangular-XInside-YInside",659728,838729,139807,519921,1,"Other","Second","Biomedical & Health Sciences","Philippines\n","Female",20
"93YLJ","men","spring18","113",3,8,11,0,2,2,"1","1","diagonal",551306,625702,151992,399314,1,"Mandarin or Cantonese","Fourth","Social Sciences (incl. CogSci)","Hong Kong","Female",23
"UQWX4","alpha","spring18","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",621402,772952,256977,364425,1,"English","Other","Social Sciences (incl. CogSci)","United States of America","Male",23
"A9CZD","charlie","spring18","111",5,8,13,0,1,1,"1","1","Orthogonal-XInside-YFull",461754,708237,142386,319368,1,"Mandarin or Cantonese","Third","Humanities","USA","Female",20
"CC7G0","charlie","spring18","111",5,9,14,0,2,2,"1","1","Orthogonal-XInside-YFull",437569,659815,83459,354110,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","china","Female",19
"K2YPP","kilo","spring18","113",1,2,3,4,7,11,"1","1","Triangular-XInside-YInside",418802,533284,195577,223225,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",21
"B4LD9","fire","spring18","111",2,1,3,2,7,9,"1","1","full",477577,623572,163568,314009,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",21
"N8G60","men","spring18","113",0,2,2,2,5,7,"1","1","diagonal",346874,515394,133275,213599,1,"English","Third","Biomedical & Health Sciences","USA","Female",22
"OY8PV","men","spring18","113",0,2,2,5,9,14,"1","1","diagonal",649059,930998,266500,382559,1,"English","Third","Social Sciences (incl. CogSci)","USA","Male",20
"YFBWR","bravo","spring18","113",0,3,3,0,5,5,"1","1","diagonal",267126,510701,91861,175265,1,"English","Fifth","Social Sciences (incl. CogSci)","USA","Female",22
"93XU7","tango","spring18","113",0,2,2,0,4,4,"1","1","Triangular-XInside-YInside",436340,646877,126951,309389,1,"English","Third","Biomedical & Health Sciences","America ","Female",22
"UX4QZ","charlie","spring18","111",0,2,2,5,9,14,"1","1","Orthogonal-XInside-YFull",614493,864473,189166,425327,1,"English","Fifth","Social Sciences (incl. CogSci)","united states","Male",23
"TMVBA","bravo","spring18","112",0,2,2,5,10,15,"1","1","partial",446190,697649,200945,245245,1,"English","First","Natural Sciences","USA","Male",18
"FY6UN","men","spring18","113",0,2,2,4,10,14,"1","1","diagonal",551752,747311,225800,325952,1,"English","First","Humanities","USA","Female",18
"QUCDX","heaven","spring18","111",0,2,2,5,9,14,"1","1","full",575891,695655,247222,328669,1,"Other","First","Social Sciences (incl. CogSci)","United States of America","Female",19
"OVZHS","fire","spring18","111",0,2,2,4,10,14,"1","1","full",610228,770971,211745,398483,1,"English","Fourth","Humanities","United States ","Female",22
"HWJDK","men","spring18","113",0,1,1,3,8,11,"1","1","diagonal",492021,673668,168760,323261,1,"English","Second","Humanities","US","Female",19
"DD3DE","fire","spring18","111",0,2,2,5,9,14,"1","1","full",577155,722268,224743,352412,1,"English","Third","Biomedical & Health Sciences","United States ","Female",20
"7E6TJ","bravo","spring18","112",5,9,14,0,2,2,"1","1","partial",348249,663428,161879,186370,1,"English","Fourth","Biomedical & Health Sciences","United States","Male",21
"10XMB","bravo","spring18","113",1,2,3,3,8,11,"1","1","diagonal",650270,909388,240910,409360,1,"English","Third","Humanities","USA","Female",20
"1ZY3L","won","spring18","111",4,7,11,0,1,1,"1","1","full",435704,624044,190396,245308,1,"English","Third","Social Sciences (incl. CogSci)","usa","Male",20
"ZUJQV","kilo","spring18","113",5,10,15,0,2,2,"1","1","Triangular-XInside-YInside",364055,541204,65449,298606,1,"English","First","Social Sciences (incl. CogSci)","United States of America","Female",19
"JDT07","men","spring18","113",0,2,2,5,9,14,"1","1","diagonal",928378,1046474,326242,602136,1,"Other","Third","Social Sciences (incl. CogSci)","Armenia","Female",21
"9BBMD","charlie","spring18","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",514205,637627,191154,323051,1,"English","Fourth","Natural Sciences","USA","Male",22
"HJ5O5","heaven","spring18","111",5,9,14,0,1,1,"1","1","full",436866,560785,157658,279208,1,"English","Second","Social Sciences (incl. CogSci)","USA","Male",20
"X2QZK","tango","spring18","113",0,2,2,4,10,14,"1","1","Triangular-XInside-YInside",689916,944369,232384,457532,1,"English","First","Natural Sciences","United States","Female",18
"Q8EDD","charlie","spring18","111",0,2,2,3,10,13,"1","1","Orthogonal-XInside-YFull",545606,726315,213281,332325,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"08WET","men","spring18","113",2,9,11,2,3,5,"1","1","diagonal",489786,670047,286871,202915,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",19
"0CR6Z","tango","spring18","113",3,9,12,0,1,1,"1","1","Triangular-XInside-YInside",760178,858929,295716,464462,1,"Other","Fourth","Social Sciences (incl. CogSci)","Burma / Myanmar","Female",22
"F98S2","kilo","spring18","113",0,2,2,4,10,14,"1","1","Triangular-XInside-YInside",633110,807411,242587,390523,1,"English","Fourth","Social Sciences (incl. CogSci)","the united states","Female",22
"VJNWA","won","spring18","111",0,1,1,5,9,14,"1","1","full",508057,727021,169061,338996,1,"English","Second","Social Sciences (incl. CogSci)","United States of America","Female",19
