"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","absolute_score"
"EFTYS","111","fall17","lab-synch","Male",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.9688333333333,2
"HH4FP","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.0737666666667,2
"AJZV2","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.2914166666667,14
"JFFAY","111","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.2570833333333,2
"GQ35Z","111","spring18","lab-synch","Male",19,"Other","First","Israel","NULL","NULL","NULL","NULL","NULL","NULL",12.6798666666667,15
"PQN6T","111","spring18","lab-synch","Female",20,"English","Third","India","NULL","NULL","NULL","NULL","NULL","NULL",7.08263333333333,2
"67NP2","121","spring18","lab-synch","Male",20,"English","Third","India","NULL","NULL","NULL","NULL","NULL","NULL",14.1253333333333,7
"781AU","111","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.52815,2
"BKTUJ","111","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0787833333333,2
"QGQ61","121","spring18","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",16.4982333333333,14
"TVQKD","121","spring18","lab-synch","Female",21,"English","Fourth","usa","NULL","NULL","NULL","NULL","NULL","NULL",13.3419666666667,8
"QY1F7","121","spring18","lab-synch","Female",20,"Other","Second","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",10.4081,6
"YE3VQ","121","spring18","lab-synch","Female",21,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",10.5178166666667,4
"CKRHQ","121","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.3070333333333,1
"4RGO3","111","spring18","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2828166666667,2
"D3LUH","121","spring18","lab-synch","Male",20,"Other","Third","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",10.5063333333333,13
