"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"M0PPP","11311112","Tri-Equilateral","summer22","asynch","Male",36,"English",NA,"United States","I tried my best on each question","3","4","2","","",12.0030666666667,"2","chrome","2560","1297","online-replication",-1.01475093533917,12.5,-0.146250808015514,0,0,0,0,-13,0,8.5698,39.5529230769231,6.755,103.701,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",40.689,0,-1,"Orthogonal",77.873,0,"Orthogonal",16.094,0,"Orthogonal",36.511,0,-5,2.92443333333333,0,-8,5.64536666666667
"M0RB1","11311112","Tri-Equilateral","summer22","asynch","Male",36,"English",NA,"united states","I tried my best on each question","4","3","3","I realized a few questions in that I was misreading part of the graph, so my first few answers were almost certainly wrong. After that I think I did better, but the questions were still tough.","",8.87181666666667,"1","chrome","1536","746","online-replication",0.464415731327496,8.02307692307692,0.668982977806507,0,0,0,0,-10,0,5.28108333333333,24.3742307692308,6.923,86.915,0,9,1,0,3,1,3,0,0,-1,"Orthogonal",9.132,0,-0.5,"?",54.384,0,"?",22.333,0,"Orthogonal",18.398,0,-2.5,1.62316666666667,0,-7.5,3.65791666666667
"M1REU","111","Orth-Isosceles","fall17","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.8817666666667,"NULL","NULL","NULL","NULL","laboratory",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,8.76433333333333,40.4507692307692,11.016,126.993,13,0,0,0,0,0,0,0,1,1,"Triangular",71.453,1,1,"Triangular",44.82,1,"Triangular",59.71,1,"Triangular",40.241,5,5,3.29831666666667,8,8,5.46601666666667
"M3NXB","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","Second","Egypt","NULL","NULL","NULL","NULL","NULL","NULL",14.3720666666667,"NULL","NULL","NULL","NULL","laboratory",7.92834861217214,-0.182665373841844,5.35877847642554,0,0,7,7,4.5,0.538461538461538,9.10051666666667,42.0023846153846,13.11,94.882,7,1,1,0,4,1,4,0,1,1,"Triangular",36.321,0,-0.5,"?",35.244,1,"Triangular",46.294,0,"Orthogonal",18.413,2,1.5,3.41201666666667,5,3,5.6885
"M6Y4Z","11111112","Orth-Equilateral","summer22","asynch","Male",19,"English",NA,"United States","I tried my best on each question","4","3","3","Nothing","No",7.60095,"1","chrome","1600","770","online-replication",4.28766233766234,-0.00717517776341305,8.38235294117647,0,0,5,5,5.5,0.384615384615385,4.71793333333333,21.7750769230769,6.423,48.623,5,1,5,0,2,5,2,0,1,1,"Triangular",22.857,0,0.5,"Tversky",29.301,1,"Triangular",26.546,0,"Orthogonal",18.997,2,3.5,1.62063333333333,3,2,3.0973
"M8XM5","11311112","Tri-Equilateral","summer22","asynch","Female",29,"English",NA,"USA","I tried my best on each question","4","3","2","I am a behavior analyst","",12.1839833333333,"1","chrome","1440","820","online-replication",-0.577250935339171,10.9230769230769,-0.781997414350356,0,0,0,0,-12,0,8.109,37.4261538461538,13.288,84.143,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",18.149,0,-0.5,"?",72.823,0,"Orthogonal",27.444,0,"Orthogonal",49.397,0,-4,2.5461,0,-8,5.5629
"MTCEB","113","Tri-Isosceles","winter22","asynch","Other-Not Listed",21,"Spanish","Third","United States","I tried my best on most questions","2","4","2","","",9.49355,"1","chrome","1287","1087","online-replication",0.483896250808016,7.02724358974359,-0.402445593622064,0,0,1,1,-8.5,0.0769230769230769,5.5073,25.4183076923077,7.865,85.482,1,7,0,0,5,0,5,0,0,-1,"Orthogonal",16.569,1,1,"Triangular",85.482,0,"Orthogonal",20.047,0,"?",29.322,1,-2,2.41008333333333,0,-6.5,3.09721666666667
"MV1AX","11111112","Orth-Equilateral","summer22","asynch","Male",61,"English",NA,"UNITED STATES","I tried my best on each question","3","4","3","","No",15.6227833333333,"2","chrome","1920","969","online-replication",0.359491488903254,6.85889625080802,-0.389840551605257,0,0,1,1,-7.5,0.0769230769230769,9.22271666666667,42.5663846153846,7.706,85.774,1,7,1,0,4,1,4,0,0,-1,"Orthogonal",31.205,1,1,"Triangular",50.245,0,"Orthogonal",33.635,0,"?",48.103,1,-1.5,4.10798333333333,0,-6,5.11473333333333
"MVXS8","11311112","Tri-Equilateral","summer22","asynch","Male",31,"English",NA,"United States","I tried my best on most questions","4","3","2","","",6.55833333333333,"1","chrome","1352","761","online-replication",-0.528008511096746,10.5,-0.170760611937083,0,0,0,0,-10.5,0,4.32408333333333,19.9573076923077,4.075,62.159,0,11,1,0,1,1,0,1,0,-1,"Orthogonal",10.715,0,0,"blank",62.159,0,"Orthogonal",11.924,0,"Orthogonal",14.088,0,-2.5,2.25428333333333,0,-8,2.0698
"MY0UR","11311112","Tri-Equilateral","summer22","asynch","Male",19,"English",NA,"usa","I tried my best on each question","5","3","3","none","no",3.50645,"1","chrome","1637","784","online-replication",0.364415731327496,0.205324822236587,0.370906054729584,0,1,0,1,-4,0.0769230769230769,1.73641666666667,8.01423076923077,2.164,39.522,1,1,1,0,10,1,9,1,0,-1,"Orthogonal",39.522,0,-0.5,"?",2.34,0,"Tversky",2.831,0,"?",2.578,0,-3,1.30341666666667,1,-1,0.433
