"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"304O6","asynch","Tri-Isosceles",4,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",5,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",6,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",7,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",8,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",9,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",10,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",11,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",12,1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",13,1,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
