"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"WA4UC","asynch","Tri-Isosceles",12,-10.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",13,-11.5,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",5,-5,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",6,-6,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",7,-7,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",8,-8,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",9,-9,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",10,-10,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",11,-11,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",12,-12,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",13,-13,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",1,-0.5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",2,0.5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",3,1.5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",4,2.5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",5,3.5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",6,4.5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",7,4,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",8,5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",9,6,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",10,7,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",11,8,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",12,9,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",13,10,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",2,-0.5,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",3,-1,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",4,-1.5,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",5,-2,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",6,-2,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",7,-2.5,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",8,-2,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",9,-3,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",10,-4,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",11,-5,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",12,-5.5,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",13,-5.5,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",1,-0.5,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",2,-1.5,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",3,-2.5,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",4,-3,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",5,-2,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",6,-3,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",7,-4,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",8,-4.5,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",9,-5.5,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",10,-6.5,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",11,-7.5,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",12,-8,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",13,-9,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",1,0.5,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",2,1,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",3,1.5,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",4,2.5,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",5,3.5,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",6,4,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",7,5,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",8,6,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",9,7,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",10,8,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",11,9,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",12,10,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",13,11,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",5,-5,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",6,-6,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",7,-7,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",8,-8,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",9,-9,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",10,-10,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",11,-11,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",12,-12,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",13,-13,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",5,-4.5,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",6,-5.5,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",7,-6.5,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",8,-7.5,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",9,-8.5,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",10,-9.5,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",11,-10.5,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",12,-11.5,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",13,-12.5,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",5,-4,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",6,-5,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",7,-6,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",8,-7,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",9,-8,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",10,-9,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",11,-10,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",12,-11,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",13,-12,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",5,-3.5,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",6,-4.5,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",7,-5.5,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",8,-6,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",9,-7,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",10,-8,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",11,-9,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",12,-10,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",13,-11,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",3,-2.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",4,-3.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",5,-4.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",6,-5.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",7,-6.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",8,-7.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",9,-8.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",10,-9.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",11,-10.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",12,-11.5,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",13,-12.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",3,-1.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",4,-2,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",5,-2.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",6,-3.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",7,-4,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",8,-4.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",9,-5.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",10,-6.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",11,-7.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",12,-7.5,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",13,-6.5,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",1,0.5,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",2,1.5,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",3,2.5,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",4,3.5,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",5,4.5,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",6,5,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",7,6,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",8,7,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",9,8,"TRI","isosceles"
