"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode"
"DXES9","221","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.91501666666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"8970T","321","fall17","lab-synch","Male",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.5214,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"KBCXA","311","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.0445666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"M6DP5","321","fall17","lab-synch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.34896666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"HUGFJ","211","fall17","lab-synch","Female",18,"English","First","China","NULL","NULL","NULL","NULL","NULL","NULL",9.99803333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"EENOM","111","fall17","lab-synch","Female",19,"English","Second","usa","NULL","NULL","NULL","NULL","NULL","NULL",11.0401666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"HA04H","311","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.1429333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"FXH2P","321","fall17","lab-synch","Male",20,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.1658,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"T4UDR","321","fall17","lab-synch","Female",19,"Spanish","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.1218,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"A57EU","221","fall17","lab-synch","Female",21,"Mandarin or Cantonese","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",9.21331666666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"1EKS2","321","fall17","lab-synch","Male",20,"Other","Third","Canada","NULL","NULL","NULL","NULL","NULL","NULL",12.49555,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"EFTYS","111","fall17","lab-synch","Male",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.9688333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"HH4FP","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.0737666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"AJZV2","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.2914166666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"N8EYG","211","fall17","lab-synch","Male",21,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.22045,"NULL","NULL","NULL","NULL","img-control","laboratory"
"18BB6","321","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.3592666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"SOGCE","221","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.62265,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"JFFAY","111","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.2570833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"LST9D","211","fall17","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.6654666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"C68PP","221","fall17","lab-synch","Male",20,"English","Third","united states","NULL","NULL","NULL","NULL","NULL","NULL",10.3256166666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"DDGO8","311","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.72845,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"2O3GE","221","fall17","lab-synch","Female",20,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.6138333333333,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"VEVUZ","221","fall17","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.16601666666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"68W24","211","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.0533833333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"J9XH8","221","fall17","lab-synch","Female",23,"Other","Fourth","Baghdad","NULL","NULL","NULL","NULL","NULL","NULL",8.88411666666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"EW5F7","221","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.9376333333333,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"7RVE0","321","fall17","lab-synch","Female",18,"English","Second","Mongolia","NULL","NULL","NULL","NULL","NULL","NULL",8.71183333333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"FBPNS","311","spring18","lab-synch","Female",26,"Other","Third","RUSSIA","NULL","NULL","NULL","NULL","NULL","NULL",13.1813166666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"13RHM","311","spring18","lab-synch","Female",19,"English","First","JAPAN","NULL","NULL","NULL","NULL","NULL","NULL",16.6670666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"GQ35Z","111","spring18","lab-synch","Male",19,"Other","First","Israel","NULL","NULL","NULL","NULL","NULL","NULL",12.6798666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"PQN6T","111","spring18","lab-synch","Female",20,"English","Third","India","NULL","NULL","NULL","NULL","NULL","NULL",7.08263333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"67NP2","121","spring18","lab-synch","Male",20,"English","Third","India","NULL","NULL","NULL","NULL","NULL","NULL",14.1253333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"AV66J","211","spring18","lab-synch","Male",19,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.1316333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"BK993","311","spring18","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",6.94743333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"CKDM5","311","spring18","lab-synch","Male",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",16.7571333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"781AU","111","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.52815,"NULL","NULL","NULL","NULL","none-control","laboratory"
"MCVE6","311","spring18","lab-synch","Female",21,"English","Fourth","U.S","NULL","NULL","NULL","NULL","NULL","NULL",9.35703333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"BKTUJ","111","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0787833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"F9531","311","spring18","lab-synch","Male",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0918333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"QGQ61","121","spring18","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",16.4982333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"TVQKD","121","spring18","lab-synch","Female",21,"English","Fourth","usa","NULL","NULL","NULL","NULL","NULL","NULL",13.3419666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"QY1F7","121","spring18","lab-synch","Female",20,"Other","Second","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",10.4081,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"41Y1H","311","spring18","lab-synch","Female",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.8523833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"YE3VQ","121","spring18","lab-synch","Female",21,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",10.5178166666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"CKRHQ","121","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.3070333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"4RGO3","111","spring18","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2828166666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"D3LUH","121","spring18","lab-synch","Male",20,"Other","Third","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",10.5063333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"HW2SN","311","spring18","lab-synch","Female",19,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.95443333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"J1JP6","111","spring18","lab-synch","Male",25,"English","Other","USA","NULL","NULL","NULL","NULL","NULL","NULL",22.1772333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"X9PTQ","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.2223,"NULL","NULL","NULL","NULL","none-control","laboratory"
"X9GRY","121","spring18","lab-synch","Female",23,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9721833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"EPA4S","311","spring18","lab-synch","Male",21,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",10.83375,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"X9225","311","spring18","lab-synch","Female",21,"Other","Third","Romania","NULL","NULL","NULL","NULL","NULL","NULL",14.5749833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"R06S6","121","spring18","lab-synch","Female",21,"English","Third","USA\n","NULL","NULL","NULL","NULL","NULL","NULL",10.2600833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"VVH1B","211","spring18","lab-synch","Male",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",21.0425333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"W7EBS","111","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.8092333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"CWE2H","211","spring18","lab-synch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",17.1136333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"DOQRP","121","spring18","lab-synch","Male",21,"English","Fourth","u.S.","NULL","NULL","NULL","NULL","NULL","NULL",9.20731666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"G27Q3","311","spring18","lab-synch","Male",19,"English","First","Japan","NULL","NULL","NULL","NULL","NULL","NULL",3.64575,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"DKL3R","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.19505,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"1N65C","311","spring18","lab-synch","Female",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.6551333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"9393C","121","spring18","lab-synch","Female",20,"English","Second","united states","NULL","NULL","NULL","NULL","NULL","NULL",14.18255,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"JZWPZ","121","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",6.13415,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"K0CNH","211","spring18","lab-synch","Male",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.7960833333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"8LGZ4","111","spring18","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0189666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"QOJ6L","121","spring18","lab-synch","Male",22,"Mandarin or Cantonese","Fifth","China","NULL","NULL","NULL","NULL","NULL","NULL",15.4029666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"808YR","121","spring18","lab-synch","Female",20,"Other","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",14.2720833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"06217","211","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.4479166666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"8182H","211","spring18","lab-synch","Female",21,"English","Third","Russia","NULL","NULL","NULL","NULL","NULL","NULL",7.87845,"NULL","NULL","NULL","NULL","img-control","laboratory"
"H1RGT","121","spring18","lab-synch","Female",21,"Other","Fourth","Thailand","NULL","NULL","NULL","NULL","NULL","NULL",9.18488333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"4FETN","121","spring18","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.7670166666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"KYTVX","111","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.7712333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"ZJPX1","121","spring18","lab-synch","Female",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.25455,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"5KWEX","311","spring18","lab-synch","Female",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",22.0676333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"ZEPVG","311","spring18","lab-synch","Female",18,"English","First","US","NULL","NULL","NULL","NULL","NULL","NULL",8.78926666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"L0W0F","111","spring18","lab-synch","Female",28,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.4247,"NULL","NULL","NULL","NULL","none-control","laboratory"
"J994U","111","spring18","lab-synch","Male",20,"English","Third","Sri Lanka","NULL","NULL","NULL","NULL","NULL","NULL",13.30185,"NULL","NULL","NULL","NULL","none-control","laboratory"
"TCTCN","211","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",11.79265,"NULL","NULL","NULL","NULL","img-control","laboratory"
"FU11G","121","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",20.8083166666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"6Y93F","111","spring18","lab-synch","Male",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.8723333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"EER58","311","spring18","lab-synch","Female",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.2559333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"MUULG","211","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.04845,"NULL","NULL","NULL","NULL","img-control","laboratory"
"H2N27","121","spring18","lab-synch","Male",20,"Mandarin or Cantonese","First","china\n","NULL","NULL","NULL","NULL","NULL","NULL",6.0111,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"T5SHZ","121","spring18","lab-synch","Female",20,"English","Other","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.4490833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"1HR1L","311","spring18","lab-synch","Female",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.07681666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"S4G9E","111","spring18","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.89913333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"9TE89","311","spring18","lab-synch","Female",21,"Spanish","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.8640166666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"AG2V3","311","spring18","lab-synch","Female",19,"Other","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.40423333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"G443Q","121","spring18","lab-synch","Female",21,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",21.49425,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"UQWX4","111","spring18","lab-synch","Male",23,"English","Other","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.8825333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"A9CZD","111","spring18","lab-synch","Female",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.80395,"NULL","NULL","NULL","NULL","none-control","laboratory"
"CC7G0","111","spring18","lab-synch","Female",19,"Mandarin or Cantonese","Second","china","NULL","NULL","NULL","NULL","NULL","NULL",10.9969166666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"FSWW4","121","spring18","lab-synch","Female",20,"Spanish","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",19.03525,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"VT5BG","121","spring18","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.1712333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"J2MPW","121","spring18","lab-synch","Male",22,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",7.39815,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"B4LD9","111","spring18","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.3928666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"DM4T0","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.4068833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"7BW1K","311","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.34538333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"UX4QZ","111","spring18","lab-synch","Male",23,"English","Fifth","united states","NULL","NULL","NULL","NULL","NULL","NULL",14.4078833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"CE3B9","311","spring18","lab-synch","Female",20,"Spanish","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",17.8397,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"8LK9M","121","spring18","lab-synch","Female",20,"English","Fourth","Lebanon","NULL","NULL","NULL","NULL","NULL","NULL",11.10275,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"MKTF4","211","spring18","lab-synch","Male",22,"English","Fourth","U.S","NULL","NULL","NULL","NULL","NULL","NULL",19.7503,"NULL","NULL","NULL","NULL","img-control","laboratory"
"QUCDX","111","spring18","lab-synch","Female",19,"Other","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",11.59425,"NULL","NULL","NULL","NULL","none-control","laboratory"
"39GMD","121","spring18","lab-synch","Female",25,"Other","Fifth","the Philippines","NULL","NULL","NULL","NULL","NULL","NULL",12.1174333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"YP2FK","121","spring18","lab-synch","Female",21,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.17235,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"QCQYM","211","spring18","lab-synch","Female",19,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.5265666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"OVZHS","111","spring18","lab-synch","Female",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.8495166666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"DD3DE","111","spring18","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0378,"NULL","NULL","NULL","NULL","none-control","laboratory"
"GD39M","211","spring18","lab-synch","Female",20,"Other","Third","EGYPT","NULL","NULL","NULL","NULL","NULL","NULL",19.8787166666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"1ZY3L","111","spring18","lab-synch","Male",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",10.4007333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"9BBMD","111","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.6271166666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"DJRH1","311","spring18","lab-synch","Male",24,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.7303,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"HJ5O5","111","spring18","lab-synch","Male",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.34641666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"Z5GWP","211","spring18","lab-synch","Female",20,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",19.0339166666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"TTCWS","211","spring18","lab-synch","Female",19,"Other","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",11.6332333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"Q8EDD","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.10525,"NULL","NULL","NULL","NULL","none-control","laboratory"
"JYGX2","311","spring18","lab-synch","Female",21,"Other","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.1458166666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"AFQCB","121","spring18","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.5747666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"VJNWA","111","spring18","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.1170166666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"DQQQX","111","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.9024166666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"202VN","311","spring18","lab-synch","Female",19,"English","Second","Malaysia","NULL","NULL","NULL","NULL","NULL","NULL",9.09318333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"74OF5","311","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.4264166666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"6GNVQ","311","spring18","lab-synch","Male",23,"English","Fifth","United StateS","NULL","NULL","NULL","NULL","NULL","NULL",12.7591166666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"6MWHZ","121","spring18","lab-synch","Female",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.2771666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"BHZYG","211","spring18","lab-synch","Male",19,"Spanish","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",19.2442,"NULL","NULL","NULL","NULL","img-control","laboratory"
"VHSFM","211","spring18","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.4996166666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"RGJZL","121","spring18","lab-synch","Other",21,"Spanish","Third","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",14.7577833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"JPN18","311","spring18","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.07845,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"TZYD4","311","spring18","lab-synch","Male",22,"Spanish","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.0973833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"MOWH2","121","spring18","lab-synch","Female",21,"English","Second","Sri Lanka","NULL","NULL","NULL","NULL","NULL","NULL",17.93165,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"Z5Z7P","111","spring18","lab-synch","Female",23,"English","Fifth","USSA","NULL","NULL","NULL","NULL","NULL","NULL",16.3699666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"OZV09","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",9.06183333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"XX1TE","111","spring18","lab-synch","Female",21,"English","Fourth","United states","NULL","NULL","NULL","NULL","NULL","NULL",13.698,"NULL","NULL","NULL","NULL","none-control","laboratory"
"F3GZE","111","spring18","lab-synch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.3365666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"CK5DF","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0937833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"ZKB08","121","spring18","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.0422166666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"YKJOR","111","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","Canada","NULL","NULL","NULL","NULL","NULL","NULL",8.50596666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"38NFJ","121","spring18","lab-synch","Female",20,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",9.21,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"S6D2F","311","spring18","lab-synch","Female",18,"English","First","America","NULL","NULL","NULL","NULL","NULL","NULL",12.7745833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"WKBNA","111","spring18","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.2046333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"8EQOW","311","spring18","lab-synch","Female",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",16.9566833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"EGP0T","111","spring18","lab-synch","Female",18,"Mandarin or Cantonese","First","TAIWAN","NULL","NULL","NULL","NULL","NULL","NULL",10.9014833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"VSHHA","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",14.8071833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"07MCH","321","fall21","asynch","Male",22,"Mandarin or Cantonese","Fourth","China","NULL","NULL","NULL","NULL","NULL","NULL",6.90528333333333,"NULL","NULL","NULL","NULL","ixv-impasse","online-replication"
"P1STY","211","fall21","asynch","Male",25,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.34415,"NULL","NULL","NULL","NULL","img-control","online-replication"
"M53XH","321","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.6962,"NULL","NULL","NULL","NULL","ixv-impasse","online-replication"
"1H0SY","221","fall21","asynch","Female",21,"Mandarin or Cantonese","Fourth","usa","NULL","NULL","NULL","NULL","NULL","NULL",7.88015,"NULL","NULL","NULL","NULL","img-impasse","online-replication"
