"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"9PH05","11115","point-click","winter22","asynch","Male",19,"English","Second","USA","I tried my best on each question",4,2,3,"","No",12.40915,2,"chrome",1858,977,-1.29500303617951,5.1531862745098,0.702663757810817,0,0,0,0,-8.5,0,7.58203333333333,34.994,7.342,79.014,0,6,1,0,6,1,6,0,0,-1,"Orthogonal",19.222,0,-1,"Orthogonal",45.267,0,"?",36.511,0,"?",67.624,0,-4,108.352,0,-4.5,346.57
"9T8HW","11115","point-click","winter22","asynch","Female",18,"X-Other","First","Burma","I tried my best on each question",3,4,4,"","none",9.62376666666667,1,"chrome",1153,742,2.25164835164835,1.79391025641026,2.32188644688645,0,0,0,3,-0.5,0.230769230769231,5.3844,24.8510769230769,11.636,61.841,3,3,2,0,5,2,3,2,0,-1,"Orthogonal",43.16,1,1,"Triangular",14.33,0,"Orthogonal",61.841,1,"Triangular",12.795,2,1,105.614,1,-1.5,217.45
"9Z01R","11115","point-click","winter22","asynch","Male",20,"English","Third","United States","I tried my best on most questions",4,3,2,"","No",16.7931833333333,2.5,"chrome",1440,703,0.850162337662338,1.76891025641026,1.04555860805861,0,0,0,1,-4.5,0.0769230769230769,8.95553333333333,41.3332307692308,12.856,108.09,1,2,0,0,10,0,7,3,0,-0.5,"?",108.09,0,-0.5,"?",44.145,1,"Triangular",31.908,0,"blank",12.856,0,-3,297.944,1,-1.5,239.388
"ADRO0","11115","point-click","winter22","asynch","Female",20,"English","Third","United States of America","I tried my best on each question",3,4,4,"N/A","No",21.2346333333333,2,"chrome",1440,776,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,16.0267666666667,73.9696923076923,13.349,191.163,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",19.313,0,-1,"Orthogonal",191.163,0,"Orthogonal",34.979,0,"Orthogonal",126.915,0,-5,449.366,0,-8,512.24
"AEEBQ","11115","point-click","winter22","asynch","Female",20,"Spanish","Third","United States of America","I tried my best on each question",3,4,2,"","N/A",15.341,1,"chrome",1440,821,-0.523679506767742,11.4230769230769,-0.735778926955398,0,0,0,0,-12.5,0,9.07085,41.8654615384615,12.142,135.911,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",19.049,0,-0.5,"?",74.253,0,"Orthogonal",40.819,0,"Orthogonal",36.025,0,-4.5,205.466,0,-8,338.785
"B8HA2","11115","point-click","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",4,4,4,"","",17.1005,2,"chrome",1201,707,0.110249064660829,11.9375,-0.146250808015514,0,0,0,0,-11,0,13.2237333333333,61.0326153846154,5.163,339.106,1,12,0,0,0,0,0,0,0,-1,"Orthogonal",27.099,0,-1,"Orthogonal",164.407,0,"Orthogonal",18.968,0,"Orthogonal",339.106,0,-5,273.708,0,-6,519.716
"BCPEC","11115","point-click","winter22","asynch","Female",36,"English","Fourth","Philippines","I tried my best on each question",5,3,5,"I think these questions are enough.","No",11.4041666666667,1,"chrome",1280,721,-1.08141760200584,6.51057692307692,2.61817226890756,0,0,0,0,-7.5,0,7.55756666666667,34.8810769230769,13.718,90.579,0,8,3,0,2,3,2,0,0,-1,"Orthogonal",22.967,0,-0.5,"?",29.232,0,"Tversky",29.288,0,"Orthogonal",29.88,0,-3,169.223,0,-4.5,284.231
"C8QAW","11115","point-click","winter22","asynch","Male",19,"English","First","United States","I tried my best on each question",3,4,4,"The diamond shape of the graph was more confusing than helpful","no",12.0754833333333,1,"chrome",1600,892,-0.514750935339171,11.3666666666667,-0.146250808015514,0,0,0,0,-12,0,7.2778,33.5898461538462,5.782,120.539,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",30.519,0,-1,"Orthogonal",120.539,0,"Orthogonal",25.651,0,"Orthogonal",57.651,0,-5,232.242,0,-7,204.426
"CNMNJ","11115","point-click","winter22","asynch","Male",20,"English","Second","USA","I tried my best on most questions",1,4,2,"","",9.33348333333333,1,"chrome",1536,714,-0.443322363910599,12,-0.0748222365869425,0,0,0,0,-12,0,5.51121666666667,25.4363846153846,0.128,74.565,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",12.84,0,-1,"Orthogonal",74.565,0,"Orthogonal",24.078,0,"Orthogonal",38.508,0,-4,103.193,0,-8,227.48
"D6P9K","11115","point-click","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",4,3,5,"At first I didnt understand how to read the graph so my first answers were probably wrong, but after a certain question I understood that I was supposed to be reading the graph a different way then how I was","",10.2759666666667,3,"chrome",1140,696,8.75641025641026,1.09758672699849,5.77472527472527,0,0,0,9,6.5,0.692307692307692,4.77385,22.0331538461538,6.636,65.211,9,2,0,0,2,0,1,1,0,-1,"Orthogonal",53.923,1,1,"Triangular",12.473,1,"Triangular",28.792,1,"Triangular",12.45,2,-0.5,115.107,7,7,171.324
