"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"ZX26B","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","628e51d27495cbf569ed1767","prolific","asynch","TRUE","I tried my best on each question",4,2,2,"",31,"United States","English","some college","Math or Computer Sciences","Male","","chrome",2560,1329,"Windows 10","2022-08-24T07:21:28.313Z","success","summer22",2,2,11.9977166666667
"691MW","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","6234f3b76898c3f34402935c","prolific","asynch","TRUE","I tried my best on each question",4,4,4,"I think it was a novel / interesting graph.   I have worked in scheduling before and we used different types of charts. ",51,"United States","English","some college","Social Sciences (incl. CogSci)","Female","No","chrome",1920,969,"Windows 10","2022-08-24T07:29:35.558Z","success","summer22",1,0,20.7030333333333
"2FYOZ","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","629e633c82ed7bd84fce0f9a","prolific","asynch","TRUE","I tried my best on each question",4,5,4,"The graph was set up in a very confusing way. I'd go through how to properly read the graph itself before asking questions.",28,"USA","English","Secondary School/Highschool","Math or Computer Sciences","Male","","chrome",1910,976,"Windows 10","2022-08-24T02:54:33.916Z","success","summer22",1,3,6.65108333333333
"22FPD","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","622a426e8900cf2b495353e8","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"n/a",53,"United States","English","some college","Social Sciences (incl. CogSci)","Female","n/a","chrome",1366,768,"Windows 10","2022-08-24T18:43:01.812Z","success","summer22",1,0,14.0202
"WFH24","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","5998ffe005a0e30001f1ff54","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"",29,"USA","English","some college","Math or Computer Sciences","Male","","chrome",1536,754,"Windows 10","2022-08-24T18:56:09.785Z","success","summer22",3,1,23.78465
"KVZT7","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","5d9fa04cd8034b0016b65d79","prolific","asynch","FALSE","I tried my best on each question",4,2,2,"no",30,"usa","English","Bachelors Degree","Social Sciences (incl. CogSci)","Male","none","chrome",1680,939,"Windows 8.1","2022-08-24T18:58:10.706Z","success","summer22",2,1,2.14995
"M8XM5","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","60ff1e2a6e2955fdf4315335","prolific","asynch","TRUE","I tried my best on each question",4,3,2,"I am a behavior analyst",29,"USA","English","Graduate Degree","Social Sciences (incl. CogSci)","Female","","chrome",1440,820,"Mac OS","2022-08-24T18:38:44.815Z","success","summer22",1,0,12.1839833333333
"0VG7G","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","62696bb2397d5c5496064e56","prolific","asynch","FALSE","I tried my best on each question",2,4,4,"",54,"US","English","some college","Humanities","Male","no","chrome",1517,694,"Windows 10","2022-08-24T18:29:33.221Z","success","summer22",3,0,17.602
"VULTG","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","5e59ee3a2bff541fcf05d86e","prolific","asynch","TRUE","I tried my best on each question",2,4,3,"",22,"United States","English","some college","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",1440,820,"Mac OS","2022-08-24T06:03:47.795Z","success","summer22",1,0,9.91666666666667
"57Y8A","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","60fe17a7fbe55f58560251a3","prolific","asynch","TRUE","I tried my best on most questions",2,3,2,"",27,"United States","English","Bachelors Degree","Social Sciences (incl. CogSci)","Female","","chrome",2311,1320,"Mac OS","2022-08-24T18:55:24.785Z","success","summer22",1,1,5.51508333333333
"4T6NO","SGC4D","11311112","TRI-equilateral","suPROLIFIC","63058a8765a9341fb889e9f8","57813c9d275be60001357faa","prolific","asynch","TRUE","I tried my best on most questions",4,3,1,"",42,"United States","English","Bachelors Degree","Fine Arts","Female","no","chrome",1536,714,"Windows 10","2022-08-24T03:04:53.047Z","success","summer22",1,5,12.9792333333333
"FKYE6","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","611ae552f2b586def2c4d9c9","prolific","asynch","TRUE","I tried my best on each question",3,5,5,"",20,"United States","English","some college","Biomedical & Health Sciences","Female","","chrome",1440,789,"Mac OS","2022-08-24T07:45:47.131Z","success","summer22",1,0,9.11548333333333
"3C1UG","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","627e7b6d33e1df14160c05ba","prolific","asynch","TRUE","I tried my best on each question",1,5,5,"",24,"USA","English","some college","Social Sciences (incl. CogSci)","Female","","chrome",1504,852,"Windows 10","2022-08-24T07:30:38.003Z","success","summer22",1,11,6.2208
"ZHGQM","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","60fcdb6cf1d45f7a16312fc7","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"",25,"United States","English","Bachelors Degree","Humanities","Female","","chrome",1440,735,"Mac OS","2022-08-24T07:41:45.178Z","success","summer22",1,0,11.3149
"F7Q5V","SGC4D","11311112","TRI-equilateral","suPROLIFIC","63058a8765a9341fb889e9f8","62bdfe451d380bec13a4a864","prolific","asynch","TRUE","I tried my best on most questions",5,2,3,"",25,"United States","English","Graduate Degree","Natural Sciences","Female","","chrome",2133,1032,"Windows 10","2022-08-24T04:12:48.859Z","success","summer22",2,0,8.4716
"5KL7Q","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","614eb0a92921d8c1e64f4873","prolific","asynch","TRUE","I tried my best on each question",2,5,4,"I liked the meme, thanks! ",52,"USA","English","Associates Degree","Math or Computer Sciences","Female","Nope. ","chrome",1366,768,"Chrome OS","2022-08-24T07:20:58.674Z","success","summer22",1,0,14.77195
"K780A","SGC4D","11311112","TRI-equilateral","suPROLIFIC","63058a8765a9341fb889e9f8","6112dccad39227e361c13866","prolific","asynch","TRUE","I tried my best on each question",3,4,2,"",22,"United States","English","Bachelors Degree","Humanities","Female","","chrome",1143,734,"Mac OS","2022-08-24T04:21:08.574Z","success","summer22",1,0,9.65481666666667
"REWC9","SGC4D","11311112","TRI-equilateral","suPROLIFIC","63058a8765a9341fb889e9f8","6111f29123e474c8788b6df3","prolific","asynch","TRUE","I tried my best on each question",2,4,3,"",22,"United States","English","some college","Humanities","Female","","chrome",1512,805,"Mac OS","2022-08-24T03:03:58.645Z","success","summer22",2,2,9.8659
"KGOFH","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","62a378da05bc514b69023189","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"",27,"usa","English","some college","Natural Sciences","Male","","chrome",1440,691,"Mac OS","2022-08-24T19:01:45.844Z","success","summer22",1,6,9.13615
"E0GFS","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","62e4b6f21f7c164777c6eb67","prolific","asynch","FALSE","I tried my best on each question",5,2,3,"The graph was extremely difficult to read, Im not sure why it was shaped like a triangle, Ive never seen that in my 14 years of learning math ",20,"United States","English","Associates Degree","Humanities","Male","No","chrome",1920,969,"Windows 10","2022-08-24T04:36:08.059Z","success","summer22",4,1,10.058
"GN4BR","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","5aeab6e39e185a0001b9e272","prolific","asynch","TRUE","I tried my best on each question",5,2,3,"",31,"United States","English","some college","Fine Arts","Female","","chrome",1536,754,"Windows 10","2022-08-24T04:17:47.629Z","success","summer22",4,1,4.97571666666667
"7WX1G","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","607ce9df61f8f44b9403edfc","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"",34,"USA","English","Bachelors Degree","Biomedical & Health Sciences","Female","none","chrome",1216,700,"Windows 10","2022-08-24T07:44:56.423Z","success","summer22",1,0,18.1918
"X6HV7","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","56e72067c89073000be77fdf","prolific","asynch","TRUE","I tried my best on each question",3,4,3,"",50,"Greatest country on Earth the You Ess of Eh.","English","Bachelors Degree","Engineering","Male","White male is quite a millstone I tell ya that.","chrome",1920,937,"Windows 10","2022-08-24T18:53:54.975Z","success","summer22",2,8,8.70346666666667
"6JC9F","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","61230b14a3bcb65c585dfdaa","prolific","asynch","TRUE","I tried my best on each question",3,4,5,"This was such an interesting study!",37,"United States","English","Bachelors Degree","Math or Computer Sciences","Female","None","chrome",1517,685,"Windows 10","2022-08-24T04:47:06.063Z","success","summer22",3,0,15.9622666666667
"1NHXQ","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","62d85abed427caa15e2d6093","prolific","asynch","TRUE","I tried my best on each question",5,2,4,"",33,"USA","English","X-OTHER","Fine Arts","Female","Diagnosed ADHD. ","chrome",1920,929,"Windows 10","2022-08-24T07:23:19.186Z","success","summer22",2,0,9.8966
"QRHO8","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","62b14dff6abbc73f0f5f090c","prolific","asynch","TRUE","I tried my best on each question",5,4,4,"I'm curious to know more about how that chart was easy to use, although I suspect that was the goal here. The chart seemed like you should be able to follow the lines downward to find the end time, but they were too steeply angled, and that didn't work.",42,"United States","English","Bachelors Degree","Math or Computer Sciences","Male","None","chrome",1517,694,"Windows 10","2022-08-24T05:01:20.197Z","success","summer22",1,0,12.8265333333333
