"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"VJNWA","won","spring18","111",0,1,1,5,9,14,"1","1","full",508057,727021,169061,338996,1,"English","Second","Social Sciences (incl. CogSci)","United States of America","Female",19
"DQQQX","won","spring18","111",0,2,2,5,7,12,"1","1","full",599178,834145,352929,246249,1,"Mandarin or Cantonese","Third","Social Sciences (incl. CogSci)","United States of America","Male",21
"6MWHZ","sox","spring18","121",3,7,10,0,2,2,"1","2","full",651612,796630,307556,344056,1,"English","Fifth","Social Sciences (incl. CogSci)","USA","Female",23
"RGJZL","bravo","spring18","121",1,2,3,0,9,9,"1","2","Orthogonal-XInside-YFull",626573,885467,220830,405743,1,"Spanish","Third","Social Sciences (incl. CogSci)","Mexico","Other",21
"MOWH2","echo","spring18","121",0,2,2,0,7,7,"1","2","Orthogonal-XInside-YFull",935708,1075899,561167,374541,1,"English","Second","Humanities","Sri Lanka","Female",21
"Z5Z7P","alpha","spring18","111",1,2,3,4,9,13,"1","1","Orthogonal-XInside-YFull",703010,982198,270544,432466,1,"English","Fifth","Biomedical & Health Sciences","USSA","Female",23
"OZV09","hotel","spring18","121",1,2,3,0,7,7,"1","2","Orthogonal-XInside-YFull",429336,543710,100463,328873,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","Taiwan","Female",19
"XX1TE","fire","spring18","111",0,2,2,5,10,15,"1","1","full",664720,821880,289709,375011,1,"English","Fourth","Social Sciences (incl. CogSci)","United states","Female",21
"F3GZE","charlie","spring18","111",2,9,11,0,2,2,"1","1","Orthogonal-XInside-YFull",667169,860194,302206,364963,1,"English","First","Social Sciences (incl. CogSci)","USA","Male",19
"CK5DF","charlie","spring18","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",534793,725627,154614,380179,1,"English","First","Natural Sciences","United States","Female",18
"ZKB08","golf","spring18","121",0,1,1,0,9,9,"1","2","Orthogonal-XInside-YFull",763487,902533,315832,447655,1,"English","First","Math or Computer Sciences","USA","Female",18
"YKJOR","thine","spring18","111",0,2,2,5,9,14,"1","1","full",356422,510358,110920,245502,1,"Mandarin or Cantonese","Third","Social Sciences (incl. CogSci)","Canada","Male",21
"38NFJ","echo","spring18","121",1,8,9,0,2,2,"1","2","Orthogonal-XInside-YFull",369359,552600,133275,236084,1,"English","Second","Biomedical & Health Sciences","United States of America","Female",20
"WKBNA","charlie","spring18","111",5,8,13,0,1,1,"1","1","Orthogonal-XInside-YFull",565497,852278,150020,415477,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"EGP0T","charlie","spring18","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",471004,654089,199406,271598,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","TAIWAN","Female",18
"VSHHA","echo","spring18","121",2,6,8,0,2,2,"1","2","Orthogonal-XInside-YFull",749515,888431,337098,412417,1,"Mandarin or Cantonese","Second","Biomedical & Health Sciences","China","Female",19
