"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode","score_TRI","score_ORTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_BOTH","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","score_SCALED"
"WKBNA","111","spring18","lab-synch","starttime",11,"LM",TRUE,14.284,2,"none-none","laboratory",1,-0.125,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.125,"Triangular","Triangular","triangular",1
"WKBNA","111","spring18","lab-synch","starts",12,"G",TRUE,16.906,1,"none-none","laboratory",1,-0.0625,NA,NA,0.5,1,NA,-0.0625,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1
"WKBNA","111","spring18","lab-synch","meets",13,"EF",TRUE,24.502,2,"none-none","laboratory",1,0.433333333333333,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",0.566666666666667,"Triangular","Triangular","triangular",1
"WKBNA","111","spring18","lab-synch","endtime",14,"X",TRUE,17.935,1,"none-none","laboratory",1,-0.0588235294117647,NA,NA,0.25,NA,1,-0.0666666666666667,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular",1
"WKBNA","111","spring18","lab-synch","midpoint",15,"KX",TRUE,14.926,2,"none-none","laboratory",1,-0.133333333333333,NA,NA,0.666666666666667,-0.117647058823529,NA,NA,0,0,1,1,0.666666666666667,"score_TV_max",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","starttime",1,"CF",FALSE,42.094,2,"none-none","laboratory",0.923076923076923,-0.166666666666667,NA,NA,1,0.923076923076923,0.928571428571429,NA,0,0,0,0,1,"score_TV_max",NA,NA,1,"score_TVERSKY",1.16666666666667,"Tversky","Tversky","pos.trans",0.5
"F3GZE","111","spring18","lab-synch","starts",2,"AK",FALSE,28.831,2,"none-none","laboratory",0.916666666666667,-0.166666666666667,NA,NA,0.5,1,-0.153846153846154,-0.153846153846154,0,0,0,0,1,"score_TV_start",NA,NA,1,"score_TVERSKY",1.16666666666667,"Tversky","Tversky","pos.trans",0.5
"F3GZE","111","spring18","lab-synch","meets",3,"EU",FALSE,27.742,2,"none-none","laboratory",-0.166666666666667,-0.2,NA,NA,0.0416666666666667,-0.166666666666667,-0.166666666666667,0.242424242424242,0,0,0,0,0.242424242424242,"score_TV_duration",NA,NA,0.242424242424242,"score_TVERSKY",0.442424242424242,"?","?","neg.trans",-0.5
"F3GZE","111","spring18","lab-synch","endtime",4,"H",TRUE,102.206,1,"none-none","laboratory",1,-0.0833333333333333,NA,NA,0.5,-0.0714285714285714,1,NA,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","midpoint",5,"O",TRUE,101.333,1,"none-none","laboratory",1,-0.0769230769230769,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0,1,1,-0.0769230769230769,"score_TV_start",NA,NA,1,"score_TRI",1.07692307692308,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","duration",6,"EG",TRUE,11.232,2,"none-none","laboratory",1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5
"F3GZE","111","spring18","lab-synch","duration+starts",7,"OX",TRUE,30.583,2,"none-none","laboratory",1,-0.133333333333333,NA,NA,0.25,1,-0.142857142857143,-0.125,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","duration+contained",8,"G",TRUE,34.165,1,"none-none","laboratory",1,-0.0666666666666667,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.06666666666667,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","starttime+before+endtime+during",9,"I",TRUE,62.113,1,"none-none","laboratory",1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5
"F3GZE","111","spring18","lab-synch","ends",10,"E",TRUE,22.499,1,"none-none","laboratory",1,-0.0625,NA,NA,0.333333333333333,-0.0625,1,-0.0625,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","starttime",11,"LM",TRUE,12.09,2,"none-none","laboratory",1,-0.125,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.125,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","starts",12,"G",TRUE,14.133,1,"none-none","laboratory",1,-0.0625,NA,NA,0.5,1,NA,-0.0625,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","meets",13,"EF",TRUE,20.408,2,"none-none","laboratory",1,0.433333333333333,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",0.566666666666667,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","endtime",14,"X",TRUE,8.823,1,"none-none","laboratory",1,-0.0588235294117647,NA,NA,0.25,NA,1,-0.0666666666666667,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular",1
"F3GZE","111","spring18","lab-synch","midpoint",15,"H",FALSE,89.734,1,"none-none","laboratory",-0.0625,-0.0666666666666667,NA,NA,-0.0666666666666667,-0.0588235294117647,NA,NA,0,0,0,0,-0.0588235294117647,"score_TV_start",NA,NA,-0.0588235294117647,"score_TVERSKY",0.00784313725490196,"?","?","neg.trans",-0.5
"X9PTQ","111","spring18","lab-synch","starttime",1,"A",FALSE,27.462,1,"none-none","laboratory",-0.0769230769230769,1,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal",-1
"X9PTQ","111","spring18","lab-synch","starts",2,"E",FALSE,11.604,1,"none-none","laboratory",-0.0833333333333333,1,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal",-1
"X9PTQ","111","spring18","lab-synch","meets",3,"Z",FALSE,28.66,1,"none-none","laboratory",0,1,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal",-1
"X9PTQ","111","spring18","lab-synch","endtime",4,"E",FALSE,58.061,1,"none-none","laboratory",-0.0714285714285714,-0.0833333333333333,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,-0.0714285714285714,"score_TRI",0.0119047619047619,"?","?","neg.trans",-0.5
"X9PTQ","111","spring18","lab-synch","midpoint",5,"U",FALSE,171.227,1,"none-none","laboratory",-0.0909090909090909,1,NA,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0,0,0,0.5,"score_TV_end",NA,NA,1,"score_ORTH",1.09090909090909,"Orthogonal","Orthogonal","orthogonal",-1
"X9PTQ","111","spring18","lab-synch","duration",6,"EG",TRUE,9.577,2,"none-none","laboratory",1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5
"X9PTQ","111","spring18","lab-synch","duration+starts",7,"BF",FALSE,24.297,2,"none-none","laboratory",-0.125,1,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1
"X9PTQ","111","spring18","lab-synch","duration+contained",8,"E",FALSE,68.861,1,"none-none","laboratory",-0.0666666666666667,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal",-1
"X9PTQ","111","spring18","lab-synch","starttime+before+endtime+during",9,"I",TRUE,18.028,1,"none-none","laboratory",1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5
"X9PTQ","111","spring18","lab-synch","ends",10,"XZ",FALSE,77.717,2,"none-none","laboratory",-0.125,0.9375,NA,NA,0.261904761904762,-0.125,-0.125,0.9375,0,0,0,0,0.9375,"score_TV_duration",NA,NA,0.9375,"score_TVERSKY",1.0625,"Tversky","Tversky","pos.trans",0.5
"X9PTQ","111","spring18","lab-synch","starttime",11,"BF",FALSE,13.486,2,"none-none","laboratory",-0.125,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1
