"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"NSPM3","321","fall17","lab-synch","Male",20,"Other","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.6606833333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory",13,-0.213585434173669,7.50641025641026,0.697802197802198,0,13,13,13,1,4.7205,21.7869230769231,6.753,59.95,13,0,0,0,0,0,0,0,1,1,"Triangular",56.289,1,1,"Triangular",24.206,1,"Triangular",29.199,1,"Triangular",16.196,5,5,2.03093333333333,8,8,2.68956666666667
"O577M","211","fall17","lab-synch","Female",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.8654,"NULL","NULL","NULL","NULL","img-control","laboratory",10.2757575757576,-1.04467517776341,9.16666666666667,0,0,10,11,11,0.846153846153846,3.86695,17.8474615384615,5.086,51.599,11,0,1,0,1,1,1,0,1,1,"Triangular",51.599,0,0.5,"Tversky",26.388,1,"Triangular",29.837,1,"Triangular",18.265,4,4.5,2.19063333333333,7,6.5,1.67631666666667
"OMHWY","221","fall17","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.2444166666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory",8.77472527472528,-0.213585434173669,4.35805860805861,0.262820512820513,0,9,9,9,0.692307692307692,8.0372,37.0947692307692,9.783,94.119,9,0,1,0,3,1,1,2,0,0,"blank",27.795,1,1,"Triangular",30.853,1,"Triangular",51.948,1,"Triangular",17.746,1,1,4.33248333333333,8,8,3.70471666666667
"OQB9V","111","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.21741666666667,"NULL","NULL","NULL","NULL","none-control","laboratory",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,3.76005,17.3540769230769,10.145,40.873,13,0,0,0,0,0,0,0,1,1,"Triangular",40.873,1,1,"Triangular",13.549,1,"Triangular",27.98,1,"Triangular",10.339,5,5,1.57871666666667,8,8,2.18133333333333
"OTVZR","121","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.8778,"NULL","NULL","NULL","NULL","none-impasse","laboratory",7.87948717948718,0.290581232492997,4.7650641025641,0.685897435897436,0,6,7,5.5,0.538461538461538,9.39418333333333,43.3577692307692,6.205,138.017,7,1,2,1,2,2,1,1,0,0,"blank",39.298,1,1,"Triangular",24.498,0,"Orthogonal",44.186,1,"Triangular",57.643,2,1.5,5.54435,5,4,3.84983333333333
"OVZHS","111","spring18","lab-synch","Female",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.8495166666667,"NULL","NULL","NULL","NULL","none-control","laboratory",-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,0,9.56103333333333,44.1278461538462,17.248,89.151,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",19.376,0,-0.5,"?",85.706,0,"Orthogonal",20.849,0,"Orthogonal",89.151,0,-4.5,3.52908333333333,0,-8,6.03195
"OZV09","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",9.06183333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory",-0.133365653953889,5.24117647058824,-0.574364361129067,1.6978021978022,0,1,1,-9,0.0769230769230769,6.04476666666667,27.8989230769231,7.485,78.355,1,6,0,2,4,0,4,0,0,-1,"Satisfice",39.053,1,1,"Triangular",21.673,0,"Orthogonal",14.423,0,"Orthogonal",66.302,1,-2,1.67438333333333,0,-7,4.37038333333333
"P1BZ9","211","fall17","lab-synch","Female",19,"English","Second","u.s.\n","NULL","NULL","NULL","NULL","NULL","NULL",10.7592833333333,"NULL","NULL","NULL","NULL","img-control","laboratory",-0.0113418444300797,4.34699148890325,0.0611398405516052,0,0,1,1,-6.5,0.0769230769230769,4.80823333333333,22.1918461538462,2.517,37.54,1,5,1,0,6,1,6,0,0,-1,"Orthogonal",15.036,1,1,"Triangular",33.737,0,"Orthogonal",26.516,0,"?",2.517,1,-1,2.34758333333333,0,-5.5,2.46065
"P1STY","211","fall21","asynch","Male",25,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.34415,"NULL","NULL","NULL","NULL","img-control","online-replication",11.9333333333333,-0.540508511096746,8.08974358974359,0,0,12,12,11.5,0.923076923076923,5.97168333333333,27.5616153846154,11.026,47.608,12,0,0,0,1,0,1,0,1,1,"Triangular",47.608,1,1,"Triangular",42.613,1,"Triangular",46.635,1,"Triangular",18.687,5,5,2.69895,7,6.5,3.27273333333333
"PBY6J","321","summer22","asynch","Other-Not Listed",25,"English",NA,"america","I tried my best on each question","4","2","5","this was fun and different so i would like to be invited back to do more","",8.47858333333333,"1","chrome","1600","948","ixv-impasse","online-replication",4.82380952380952,1.47391456582633,4.73557692307692,0.620879120879121,0,4,4,2,0.307692307692308,4.57961666666667,21.1366923076923,9.072,44.668,4,3,4,0,2,4,2,0,0,0.5,"Tversky",21.057,1,1,"Triangular",27.652,0,"Tversky",20.002,1,"Triangular",44.668,2,3.5,2.08441666666667,2,-1.5,2.4952
